,Month,naics_description,product_or_service_code_description,total_obligated_amount,recipient_name,funding_sub_agency_name,"Natural gas, US"
6606,2019M07,NATURAL GAS EXTRACTION,"GAS GENERATING AND DISPENSING SYSTEMS, FIXED OR MOBILE",179820.0,"SAGE ENERGY TRADING, LLC","VETERANS AFFAIRS, DEPARTMENT OF",2.36
6607,2019M07,NATURAL GAS EXTRACTION,GASES: COMPRESSED AND LIQUEFIED,0.0,"TIGER NATURAL GAS, INC.WORLD FUEL SERVICES, INC.SYMMETRY ENERGY SOLUTIONS, LLC",DEFENSE LOGISTICS AGENCYDEFENSE LOGISTICS AGENCYDEFENSE LOGISTICS AGENCY,2.36
6608,2019M07,NATURAL GAS EXTRACTION,GASES: COMPRESSED AND LIQUEFIED,7809.76,"UGI ENERGY SERVICES, LLC",DEPT OF THE ARMY,2.36
6609,2019M07,NATURAL GAS EXTRACTION,GASES: COMPRESSED AND LIQUEFIED,9347.38,"UGI ENERGY SERVICES, LLC",DEPT OF THE ARMY,2.36
6610,2019M07,NATURAL GAS EXTRACTION,GASES: COMPRESSED AND LIQUEFIED,12206.91,"UGI ENERGY SERVICES, LLC",DEPT OF THE ARMY,2.36
6611,2019M07,NATURAL GAS EXTRACTION,GASES: COMPRESSED AND LIQUEFIED,40450.0,"CONSTELLATION NEWENERGY - GAS DIVISION, LLC",DEPT OF THE ARMY,2.36
6612,2019M07,NATURAL GAS EXTRACTION,GASES: COMPRESSED AND LIQUEFIED,189910.91,"SAGE ENERGY TRADING, LLC",DEPT OF THE AIR FORCE,2.36
6613,2019M07,NATURAL GAS EXTRACTION,GASES: COMPRESSED AND LIQUEFIED,313411.4,"COLONIAL ENERGY, INC.",DEFENSE LOGISTICS AGENCY,2.36
6614,2019M07,NATURAL GAS EXTRACTION,GASES: COMPRESSED AND LIQUEFIED,356816.9,"COLONIAL ENERGY, INC.",DEFENSE LOGISTICS AGENCY,2.36
6615,2019M07,NATURAL GAS EXTRACTION,MARINE HARDWARE AND HULL ITEMS,21000.0,"REIMEL MACHINE, INC.",DEPT OF THE NAVY,2.36
6616,2019M07,NATURAL GAS EXTRACTION,UTILITIES- GAS,175351.81,"CENTERPOINT ENERGY SERVICES, INC.","VETERANS AFFAIRS, DEPARTMENT OF",2.36
