,Month,naics_description,product_or_service_code_description,total_obligated_amount,recipient_name,funding_sub_agency_name,"Natural gas, US"
8069,2020M06,SUPPORT ACTIVITIES FOR OIL AND GAS OPERATIONS,"MAINT/REPAIR/REBUILD OF EQUIPMENT- FUELS, LUBRICANTS, OILS, AND WAXES",8200.0,DALMATION CARPET CARE LLC,U.S. COAST GUARD,1.61
8070,2020M06,SUPPORT ACTIVITIES FOR OIL AND GAS OPERATIONS,"MAINT/REPAIR/REBUILD OF EQUIPMENT- FUELS, LUBRICANTS, OILS, AND WAXES",17393.22,"TTI ENVIRONMENTAL, INC.",NATURAL RESOURCES CONSERVATION SERVICE,1.61
8071,2020M06,SUPPORT ACTIVITIES FOR OIL AND GAS OPERATIONS,"MAINT/REPAIR/REBUILD OF EQUIPMENT- FUELS, LUBRICANTS, OILS, AND WAXES",20930.0,"TYREE OIL, INC.","VETERANS AFFAIRS, DEPARTMENT OF",1.61
8072,2020M06,SUPPORT ACTIVITIES FOR OIL AND GAS OPERATIONS,TECHNICAL REPRESENTATIVE- WATER PURIFICATION AND SEWAGE TREATMENT EQUIPMENT,48770.0,"ACCURATE MARINE ENVIRONMENTAL, LLC",DEPT OF THE NAVY,1.61
8128,2020M07,NATURAL GAS EXTRACTION,GASES: COMPRESSED AND LIQUEFIED,24949.25,"CENTERPOINT ENERGY SERVICES, INC.",DEPT OF THE ARMY,1.74
8129,2020M07,NATURAL GAS EXTRACTION,GASES: COMPRESSED AND LIQUEFIED,29516.2,"CONSTELLATION NEWENERGY - GAS DIVISION, LLC",DEPT OF THE ARMY,1.74
8130,2020M07,NATURAL GAS EXTRACTION,GASES: COMPRESSED AND LIQUEFIED,34012.02,"CONSTELLATION NEWENERGY - GAS DIVISION, LLC",DEPT OF THE ARMY,1.74
8131,2020M07,NATURAL GAS EXTRACTION,GASES: COMPRESSED AND LIQUEFIED,130240.87,"SAGE ENERGY TRADING, LLC",DEPT OF THE AIR FORCE,1.74
8132,2020M07,NATURAL GAS EXTRACTION,GASES: COMPRESSED AND LIQUEFIED,224519.2,"WGL ENERGY SERVICES, INC.",DEFENSE LOGISTICS AGENCY,1.74
8133,2020M07,NATURAL GAS EXTRACTION,UTILITIES- GAS,841913.95,"DIRECT ENERGY BUSINESS MARKETING, LLC",DEPT OF THE ARMY,1.74
8134,2020M07,NATURAL GAS EXTRACTION,VIDEO RECORDING AND REPRODUCING EQUIPMENT,33033.53,"NEW TECH SOLUTIONS, INC.",DEPT OF THE NAVY,1.74
8135,2020M07,NATURAL GAS LIQUID EXTRACTION,GASES: COMPRESSED AND LIQUEFIED,0.0,WESTFA VERTRIEBS- UND VERWALTUNGS-GMBH,DEPT OF THE AIR FORCE,1.74
8136,2020M07,NATURAL GAS LIQUID EXTRACTION,GASES: COMPRESSED AND LIQUEFIED,98.0,"GIGA, INC.GIGA, INC.GIGA, INC.GIGA, INC.GIGA, INC.GIGA, INC.GIGA, INC.GIGA, INC.GIGA, INC.GIGA, INC.",FEDERAL ACQUISITION SERVICEFEDERAL ACQUISITION SERVICEFEDERAL ACQUISITION SERVICEFEDERAL ACQUISITION SERVICEFEDERAL ACQUISITION SERVICEFEDERAL ACQUISITION SERVICEFEDERAL ACQUISITION SERVICEFEDERAL ACQUISITION SERVICEFEDERAL ACQUISITION SERVICEFEDERAL ACQUISITION SERVICE,1.74
8137,2020M07,NATURAL GAS LIQUID EXTRACTION,GASES: COMPRESSED AND LIQUEFIED,582.92,"SUBURBAN PROPANE PARTNERS, L.P.",DEPT OF THE ARMY,1.74
8138,2020M07,NATURAL GAS LIQUID EXTRACTION,GASES: COMPRESSED AND LIQUEFIED,588.0,"GIGA, INC.",FEDERAL ACQUISITION SERVICE,1.74
8216,2020M07,SUPPORT ACTIVITIES FOR OIL AND GAS OPERATIONS,CONSTRUCTION OF RESTORATION OF REAL PROPERTY (PUBLIC OR PRIVATE),4046600.0,OLGOONIK CONSTRUCTION SERVICES LLC,BUREAU OF LAND MANAGEMENT,1.74
8217,2020M07,SUPPORT ACTIVITIES FOR OIL AND GAS OPERATIONS,MAINTENANCE OF FUEL SUPPLY FACILITIES,4000.0,"SME SOLUTIONS, LLC","VETERANS AFFAIRS, DEPARTMENT OF",1.74
8218,2020M07,SUPPORT ACTIVITIES FOR OIL AND GAS OPERATIONS,"MAPS, ATLASES, CHARTS, AND GLOBES",25000.0,"NUKA RESEARCH AND PLANNING GROUP, LLC",U.S. COAST GUARD,1.74
8219,2020M07,SUPPORT ACTIVITIES FOR OIL AND GAS OPERATIONS,NATURAL RESOURCES/CONSERVATION- WELL DRILLING/EXPLORATORY,5000.0,"FREY WELL DRILLING, INC.",US GEOLOGICAL SURVEY,1.74
8262,2020M08,NATURAL GAS EXTRACTION,GASES: COMPRESSED AND LIQUEFIED,41096.51,"CENTERPOINT ENERGY SERVICES, INC.",DEPT OF THE ARMY,2.3
8263,2020M08,NATURAL GAS EXTRACTION,GASES: COMPRESSED AND LIQUEFIED,113763.63,"HIGH DESERT PIPELINE, INC.",DEPT OF THE ARMY,2.3
8264,2020M08,NATURAL GAS EXTRACTION,TEXTILE FABRICS,11503.5,EHB SUPPLY,DEPT OF THE NAVY,2.3
8265,2020M08,NATURAL GAS LIQUID EXTRACTION,GASES: COMPRESSED AND LIQUEFIED,0.0,WESTFA VERTRIEBS- UND VERWALTUNGS-GMBH,DEPT OF THE AIR FORCE,2.3
8266,2020M08,NATURAL GAS LIQUID EXTRACTION,GASES: COMPRESSED AND LIQUEFIED,98.0,"GIGA, INC.GIGA, INC.GIGA, INC.GIGA, INC.",FEDERAL ACQUISITION SERVICEFEDERAL ACQUISITION SERVICEFEDERAL ACQUISITION SERVICEFEDERAL ACQUISITION SERVICE,2.3
8267,2020M08,NATURAL GAS LIQUID EXTRACTION,GASES: COMPRESSED AND LIQUEFIED,196.0,"GIGA, INC.GIGA, INC.",FEDERAL ACQUISITION SERVICEFEDERAL ACQUISITION SERVICE,2.3
8268,2020M08,NATURAL GAS LIQUID EXTRACTION,GASES: COMPRESSED AND LIQUEFIED,1176.0,"GIGA, INC.",FEDERAL ACQUISITION SERVICE,2.3
8304,2020M08,SUPPORT ACTIVITIES FOR OIL AND GAS OPERATIONS,FUEL OILS,11350.29,MISCELLANEOUS FOREIGN AWARDEES,"STATE, DEPARTMENT OF",2.3
8305,2020M08,SUPPORT ACTIVITIES FOR OIL AND GAS OPERATIONS,LEASE/RENTAL OF FUEL STORAGE BUILDINGS,41968.53,"UNITED RENTALS, INC.","VETERANS AFFAIRS, DEPARTMENT OF",2.3
8306,2020M08,SUPPORT ACTIVITIES FOR OIL AND GAS OPERATIONS,"MAINT/REPAIR/REBUILD OF EQUIPMENT- AIRCRAFT LAUNCHING, LANDING, AND GROUND HANDLING EQUIPMENT",3950.0,"CITI APPROVED ENTERPRISE, LLC",U.S. COAST GUARD,2.3
8307,2020M08,SUPPORT ACTIVITIES FOR OIL AND GAS OPERATIONS,MAINTENANCE OF OTHER CONSERVATION AND DEVELOPMENT FACILITIES,11000.0,"STATEWIDE DRILLING, INC.",DEPT OF THE AIR FORCE,2.3
8308,2020M08,SUPPORT ACTIVITIES FOR OIL AND GAS OPERATIONS,NATURAL RESOURCES/CONSERVATION- WELL DRILLING/EXPLORATORY,6775.19,"MARK J. TRAUT WELLS, INC",US GEOLOGICAL SURVEY,2.3
8309,2020M08,SUPPORT ACTIVITIES FOR OIL AND GAS OPERATIONS,QUALITY CONTROL- MISCELLANEOUS,9920.0,"CALIFORNIA HAZARDOUS SERVICES, INC.","VETERANS AFFAIRS, DEPARTMENT OF",2.3
8310,2020M08,SUPPORT ACTIVITIES FOR OIL AND GAS OPERATIONS,SPECIAL STUDIES/ANALYSIS- SCIENTIFIC DATA,557824.0,"A2D TECHNOLOGIES, INC.",BUREAU OF SAFETY AND ENVIRONMENTAL ENFORCEMENT,2.3
8311,2020M08,SUPPORT ACTIVITIES FOR OIL AND GAS OPERATIONS,SUPPORT- PROFESSIONAL: OTHER,51000.0,"DRILLING INFO, INC.","ENERGY, DEPARTMENT OF",2.3
8415,2020M09,NATURAL GAS EXTRACTION,GASES: COMPRESSED AND LIQUEFIED,8145.14,"UGI ENERGY SERVICES, LLC",DEPT OF THE ARMY,1.92
8416,2020M09,NATURAL GAS EXTRACTION,GASES: COMPRESSED AND LIQUEFIED,19537.7,"CONSTELLATION NEWENERGY - GAS DIVISION, LLC",DEPT OF THE ARMY,1.92
8417,2020M09,NATURAL GAS EXTRACTION,GASES: COMPRESSED AND LIQUEFIED,198853.43,"ENSPIRE ENERGY, LLC",DEFENSE LOGISTICS AGENCY,1.92
8418,2020M09,NATURAL GAS EXTRACTION,GASES: COMPRESSED AND LIQUEFIED,1488788.0,"SUBURBAN PROPANE PARTNERS, L.P.",NATIONAL PARK SERVICE,1.92
8419,2020M09,NATURAL GAS EXTRACTION,UTILITIES- GAS,317000.0,"TIGER NATURAL GAS, INC.",NATIONAL AERONAUTICS AND SPACE ADMINISTRATION,1.92
8420,2020M09,NATURAL GAS EXTRACTION,UTILITIES- GAS,2526211.87,"TIGER NATURAL GAS, INC.",NATIONAL AERONAUTICS AND SPACE ADMINISTRATION,1.92
8421,2020M09,NATURAL GAS LIQUID EXTRACTION,GASES: COMPRESSED AND LIQUEFIED,0.0,WESTFA VERTRIEBS- UND VERWALTUNGS-GMBHWESTFA VERTRIEBS- UND VERWALTUNGS-GMBHPROGAS GESELLSCHAFT MIT BESCHRANKTER HAFTUNG & CO. KOMMANDITGESELLSCHAFT,DEPT OF THE AIR FORCEDEPT OF THE AIR FORCEDEPT OF THE AIR FORCE,1.92
8422,2020M09,NATURAL GAS LIQUID EXTRACTION,GASES: COMPRESSED AND LIQUEFIED,98.0,"GIGA, INC.GIGA, INC.GIGA, INC.GIGA, INC.GIGA, INC.GIGA, INC.GIGA, INC.GIGA, INC.GIGA, INC.GIGA, INC.GIGA, INC.GIGA, INC.GIGA, INC.GIGA, INC.GIGA, INC.GIGA, INC.",FEDERAL ACQUISITION SERVICEFEDERAL ACQUISITION SERVICEFEDERAL ACQUISITION SERVICEFEDERAL ACQUISITION SERVICEFEDERAL ACQUISITION SERVICEFEDERAL ACQUISITION SERVICEFEDERAL ACQUISITION SERVICEFEDERAL ACQUISITION SERVICEFEDERAL ACQUISITION SERVICEFEDERAL ACQUISITION SERVICEFEDERAL ACQUISITION SERVICEFEDERAL ACQUISITION SERVICEFEDERAL ACQUISITION SERVICEFEDERAL ACQUISITION SERVICEFEDERAL ACQUISITION SERVICEFEDERAL ACQUISITION SERVICE,1.92
8423,2020M09,NATURAL GAS LIQUID EXTRACTION,GASES: COMPRESSED AND LIQUEFIED,392.0,"GIGA, INC.GIGA, INC.",FEDERAL ACQUISITION SERVICEFEDERAL ACQUISITION SERVICE,1.92
8424,2020M09,NATURAL GAS LIQUID EXTRACTION,GASES: COMPRESSED AND LIQUEFIED,588.0,"GIGA, INC.",FEDERAL ACQUISITION SERVICE,1.92
8425,2020M09,NATURAL GAS LIQUID EXTRACTION,GASES: COMPRESSED AND LIQUEFIED,784.0,"GIGA, INC.",FEDERAL ACQUISITION SERVICE,1.92
8508,2020M09,SUPPORT ACTIVITIES FOR OIL AND GAS OPERATIONS,FUEL OILS,6872.28,LAUREL FUEL OIL & HEATING CO INC,PUBLIC BUILDINGS SERVICE,1.92
8509,2020M09,SUPPORT ACTIVITIES FOR OIL AND GAS OPERATIONS,FUEL OILS,9975.0,"CORRIGAN OIL II, INC.","VETERANS AFFAIRS, DEPARTMENT OF",1.92
8510,2020M09,SUPPORT ACTIVITIES FOR OIL AND GAS OPERATIONS,INFORMATION TECHNOLOGY SOFTWARE,91800.0,CGG SERVICES (U.S.) INC.,BUREAU OF OCEAN ENERGY MANAGEMENT,1.92
8511,2020M09,SUPPORT ACTIVITIES FOR OIL AND GAS OPERATIONS,"LEASE OR RENTAL OF EQUIPMENT- CONSTRUCTION, MINING, EXCAVATING, AND HIGHWAY MAINTENANCE EQUIPMENT",0.0,"KERN STEEL FABRICATION, INC.",US GEOLOGICAL SURVEY,1.92
8512,2020M09,SUPPORT ACTIVITIES FOR OIL AND GAS OPERATIONS,"LEASE OR RENTAL OF EQUIPMENT- FUELS, LUBRICANTS, OILS, AND WAXES",44267.31,"CLEAN HARBORS ENVIRONMENTAL SERVICES, INC.",U.S. COAST GUARD,1.92
8513,2020M09,SUPPORT ACTIVITIES FOR OIL AND GAS OPERATIONS,MAINT/REPAIR/REBUILD OF EQUIPMENT- CLEANING EQUIPMENT AND SUPPLIES,104777.57,SCHRASS GMBH,DEPT OF THE ARMY,1.92
8514,2020M09,SUPPORT ACTIVITIES FOR OIL AND GAS OPERATIONS,"MAINT/REPAIR/REBUILD OF EQUIPMENT- FURNACE, STEAM PLANT, AND DRYING EQUIPMENT; NUCLEAR REACTORS",11424.81,MISCELLANEOUS FOREIGN AWARDEES,"STATE, DEPARTMENT OF",1.92
8515,2020M09,SUPPORT ACTIVITIES FOR OIL AND GAS OPERATIONS,NATURAL RESOURCES/CONSERVATION- WELL DRILLING/EXPLORATORY,76380.0,SPN WELL SERVICES INC,BUREAU OF LAND MANAGEMENT,1.92
8516,2020M09,SUPPORT ACTIVITIES FOR OIL AND GAS OPERATIONS,OTHER ENVIRONMENTAL SERVICES,30700.0,"CONTINENTAL INDUSTRIES FIELD SERVICES, LLC",BUREAU OF LAND MANAGEMENT,1.92
8517,2020M09,SUPPORT ACTIVITIES FOR OIL AND GAS OPERATIONS,"OTHER QC/TEST/INSPECT- FUELS, LUBRICANTS, OILS, AND WAXES",22932.26,MISCELLANEOUS FOREIGN AWARDEES,"STATE, DEPARTMENT OF",1.92
8518,2020M09,SUPPORT ACTIVITIES FOR OIL AND GAS OPERATIONS,PURCHASE OF FUEL SUPPLY FACILITIES,11461.94,DEFENSE LOGISTICS AGENCY,"STATE, DEPARTMENT OF",1.92
8519,2020M09,SUPPORT ACTIVITIES FOR OIL AND GAS OPERATIONS,REPAIR OR ALTERATION OF EPG FACILITIES - GAS,0.0,"NEIL NAKAI, INCORPORATED",DEPT OF THE NAVY,1.92
8520,2020M09,SUPPORT ACTIVITIES FOR OIL AND GAS OPERATIONS,SPECIAL STUDIES/ANALYSIS- SOIL,34563.98,"WILLBORN BROS, CO.",AGRICULTURAL RESEARCH SERVICE,1.92
8521,2020M09,SUPPORT ACTIVITIES FOR OIL AND GAS OPERATIONS,SUPPORT- PROFESSIONAL: MARKET RESEARCH/PUBLIC OPINION,89750.0,"ASTERION, LLC","GAO, EXCEPT COMPTROLLER GENERAL",1.92
8522,2020M09,SUPPORT ACTIVITIES FOR OIL AND GAS OPERATIONS,SUPPORT- PROFESSIONAL: OTHER,75000.0,"DRILLING INFO, INC.",ENVIRONMENTAL PROTECTION AGENCY,1.92
8533,2020M10,NATURAL GAS EXTRACTION,FUEL OILS,0.0,MISCELLANEOUS FOREIGN AWARDEESMISCELLANEOUS FOREIGN AWARDEES,"STATE, DEPARTMENT OFSTATE, DEPARTMENT OF",2.25
8534,2020M10,NATURAL GAS EXTRACTION,GASES: COMPRESSED AND LIQUEFIED,0.0,"DIRECT ENERGY BUSINESS MARKETING, LLCUGI ENERGY SERVICES, LLCWGL ENERGY SERVICES, INC.ENSPIRE ENERGY, LLCCOLONIAL ENERGY, INC.MARATHON POWER LLC",DEFENSE LOGISTICS AGENCYDEFENSE LOGISTICS AGENCYDEFENSE LOGISTICS AGENCYDEFENSE LOGISTICS AGENCYDEFENSE LOGISTICS AGENCYDEFENSE LOGISTICS AGENCY,2.25
8535,2020M10,NATURAL GAS EXTRACTION,GASES: COMPRESSED AND LIQUEFIED,20926.94,"UGI ENERGY SERVICES, LLC",DEPT OF THE ARMY,2.25
8536,2020M10,NATURAL GAS EXTRACTION,GASES: COMPRESSED AND LIQUEFIED,24217.7,"CONSTELLATION NEWENERGY - GAS DIVISION, LLC",DEPT OF THE ARMY,2.25
8537,2020M10,NATURAL GAS EXTRACTION,GASES: COMPRESSED AND LIQUEFIED,94301.12,GAS SOUTH LLC,FEDERAL LAW ENFORCEMENT TRAINING CENTER,2.25
8538,2020M10,NATURAL GAS EXTRACTION,GASES: COMPRESSED AND LIQUEFIED,95850.0,"CONSTELLATION NEWENERGY - GAS DIVISION, LLC","VETERANS AFFAIRS, DEPARTMENT OF",2.25
8539,2020M10,NATURAL GAS EXTRACTION,GASES: COMPRESSED AND LIQUEFIED,97616.62,"SYMMETRY ENERGY SOLUTIONS, LLC",DEPT OF THE ARMY,2.25
8540,2020M10,NATURAL GAS EXTRACTION,GASES: COMPRESSED AND LIQUEFIED,107701.25,"CONSTELLATION NEWENERGY - GAS DIVISION, LLC",DEPT OF THE ARMY,2.25
8541,2020M10,NATURAL GAS EXTRACTION,GASES: COMPRESSED AND LIQUEFIED,147773.57,"CONSTELLATION NEWENERGY - GAS DIVISION, LLC",DEPT OF THE ARMY,2.25
8542,2020M10,NATURAL GAS EXTRACTION,GASES: COMPRESSED AND LIQUEFIED,196910.62,"SYMMETRY ENERGY SOLUTIONS, LLC",DEPT OF THE ARMY,2.25
8543,2020M10,NATURAL GAS EXTRACTION,GASES: COMPRESSED AND LIQUEFIED,294192.0,"DIRECT ENERGY BUSINESS MARKETING, LLC","VETERANS AFFAIRS, DEPARTMENT OF",2.25
8544,2020M10,NATURAL GAS EXTRACTION,GASES: COMPRESSED AND LIQUEFIED,363000.0,"UGI ENERGY SERVICES, LLC",FEDERAL PRISON SYSTEM / BUREAU OF PRISONS,2.25
8545,2020M10,NATURAL GAS EXTRACTION,GASES: COMPRESSED AND LIQUEFIED,454070.75,"ENSPIRE ENERGY, LLC",DEFENSE LOGISTICS AGENCY,2.25
8546,2020M10,NATURAL GAS EXTRACTION,GASES: COMPRESSED AND LIQUEFIED,455659.9,"SAGE ENERGY TRADING, LLC",DEPT OF THE AIR FORCE,2.25
8547,2020M10,NATURAL GAS EXTRACTION,GASES: COMPRESSED AND LIQUEFIED,550000.0,"CONSTELLATION NEWENERGY - GAS DIVISION, LLC","VETERANS AFFAIRS, DEPARTMENT OF",2.25
8548,2020M10,NATURAL GAS EXTRACTION,GASES: COMPRESSED AND LIQUEFIED,590824.06,"CONSTELLATION NEWENERGY - GAS DIVISION, LLC","VETERANS AFFAIRS, DEPARTMENT OF",2.25
8549,2020M10,NATURAL GAS EXTRACTION,GASES: COMPRESSED AND LIQUEFIED,677527.0,"CONSTELLATION NEWENERGY - GAS DIVISION, LLC","VETERANS AFFAIRS, DEPARTMENT OF",2.25
8550,2020M10,NATURAL GAS EXTRACTION,UTILITIES- ELECTRIC,363000.0,"UGI ENERGY SERVICES, LLC",FEDERAL PRISON SYSTEM / BUREAU OF PRISONS,2.25
8551,2020M10,NATURAL GAS EXTRACTION,UTILITIES- GAS,38497.65,"TIGER NATURAL GAS, INC.",FEDERAL PRISON SYSTEM / BUREAU OF PRISONS,2.25
8552,2020M10,NATURAL GAS EXTRACTION,UTILITIES- GAS,129891.64,"TIGER NATURAL GAS, INC.",FEDERAL PRISON SYSTEM / BUREAU OF PRISONS,2.25
8553,2020M10,NATURAL GAS EXTRACTION,UTILITIES- GAS,200349.97,"CONSTELLATION NEWENERGY - GAS DIVISION, LLC","VETERANS AFFAIRS, DEPARTMENT OF",2.25
8554,2020M10,NATURAL GAS EXTRACTION,UTILITIES- GAS,316788.02,"SYMMETRY ENERGY SOLUTIONS, LLC",FEDERAL PRISON SYSTEM / BUREAU OF PRISONS,2.25
8555,2020M10,NATURAL GAS EXTRACTION,UTILITIES- GAS,352349.43,"TIGER NATURAL GAS, INC.",FEDERAL PRISON SYSTEM / BUREAU OF PRISONS,2.25
8556,2020M10,NATURAL GAS EXTRACTION,UTILITIES- GAS,440000.0,"TIGER NATURAL GAS, INC.",FEDERAL PRISON SYSTEM / BUREAU OF PRISONS,2.25
8557,2020M10,NATURAL GAS EXTRACTION,UTILITIES- GAS,1294732.06,"TIGER NATURAL GAS, INC.","VETERANS AFFAIRS, DEPARTMENT OF",2.25
8558,2020M10,NATURAL GAS EXTRACTION,UTILITIES- GAS,1399200.0,"TIGER NATURAL GAS, INC.","VETERANS AFFAIRS, DEPARTMENT OF",2.25
8559,2020M10,NATURAL GAS EXTRACTION,UTILITIES- OTHER,445857.28,"DIRECT ENERGY BUSINESS MARKETING, LLC",FEDERAL PRISON SYSTEM / BUREAU OF PRISONS,2.25
8560,2020M10,NATURAL GAS LIQUID EXTRACTION,GASES: COMPRESSED AND LIQUEFIED,98.0,"GIGA, INC.GIGA, INC.",FEDERAL ACQUISITION SERVICEFEDERAL ACQUISITION SERVICE,2.25
8561,2020M10,NATURAL GAS LIQUID EXTRACTION,GASES: COMPRESSED AND LIQUEFIED,196.0,"GIGA, INC.GIGA, INC.GIGA, INC.",FEDERAL ACQUISITION SERVICEFEDERAL ACQUISITION SERVICEFEDERAL ACQUISITION SERVICE,2.25
8562,2020M10,NATURAL GAS LIQUID EXTRACTION,GASES: COMPRESSED AND LIQUEFIED,1960.0,"GIGA, INC.",FEDERAL ACQUISITION SERVICE,2.25
8642,2020M11,CRUDE PETROLEUM AND NATURAL GAS EXTRACTION,UTILITIES- GAS,149000.0,WASHINGTON GAS ENERGY SERVICES INC,J. F. KENNEDY CENTER FOR THE PERFORMING ARTS,2.59
8654,2020M11,NATURAL GAS EXTRACTION,GASES: COMPRESSED AND LIQUEFIED,30717.7,"CONSTELLATION NEWENERGY - GAS DIVISION, LLC",DEPT OF THE ARMY,2.59
8655,2020M11,NATURAL GAS EXTRACTION,GASES: COMPRESSED AND LIQUEFIED,35759.71,"UGI ENERGY SERVICES, LLC",DEPT OF THE ARMY,2.59
8656,2020M11,NATURAL GAS EXTRACTION,GASES: COMPRESSED AND LIQUEFIED,216548.18,"CONSTELLATION NEWENERGY - GAS DIVISION, LLC",DEPT OF THE ARMY,2.59
8657,2020M11,NATURAL GAS EXTRACTION,GASES: COMPRESSED AND LIQUEFIED,323921.52,"SYMMETRY ENERGY SOLUTIONS, LLC",DEPT OF THE ARMY,2.59
8658,2020M11,NATURAL GAS EXTRACTION,GASES: COMPRESSED AND LIQUEFIED,444571.3,"WGL ENERGY SERVICES, INC.",DEFENSE LOGISTICS AGENCY,2.59
8659,2020M11,NATURAL GAS EXTRACTION,"LIQUID PROPELLANTS AND FUELS, PETROLEUM BASE",1164.24,BSE PERFORMANCE LLC,DEPT OF THE ARMY,2.59
8660,2020M11,NATURAL GAS EXTRACTION,UTILITIES- GAS,29338.18,"INTERCONN RESOURCES, LLC",FEDERAL PRISON SYSTEM / BUREAU OF PRISONS,2.59
8661,2020M11,NATURAL GAS LIQUID EXTRACTION,GASES: COMPRESSED AND LIQUEFIED,98.0,"GIGA, INC.GIGA, INC.GIGA, INC.GIGA, INC.",FEDERAL ACQUISITION SERVICEFEDERAL ACQUISITION SERVICEFEDERAL ACQUISITION SERVICEFEDERAL ACQUISITION SERVICE,2.59
8662,2020M11,NATURAL GAS LIQUID EXTRACTION,GASES: COMPRESSED AND LIQUEFIED,196.0,"GIGA, INC.GIGA, INC.",FEDERAL ACQUISITION SERVICEFEDERAL ACQUISITION SERVICE,2.59
8709,2020M11,SUPPORT ACTIVITIES FOR OIL AND GAS OPERATIONS,ENERGY R&D SERVICES; EMERGENCY ENERGY PREPAREDNESS; BASIC RESEARCH,260524.0,NATIONAL ACADEMY OF SCIENCES,BUREAU OF SAFETY AND ENVIRONMENTAL ENFORCEMENT,2.59
8710,2020M11,SUPPORT ACTIVITIES FOR OIL AND GAS OPERATIONS,FUEL OILS,18609.27,MISCELLANEOUS FOREIGN AWARDEES,"STATE, DEPARTMENT OF",2.59
8711,2020M11,SUPPORT ACTIVITIES FOR OIL AND GAS OPERATIONS,"INSPECTION- PIPE, TUBING, HOSE, AND FITTINGS",0.0,MCKENNA-SUNABE ASSOCIATES LLC.,DEPT OF THE NAVY,2.59
8712,2020M11,SUPPORT ACTIVITIES FOR OIL AND GAS OPERATIONS,"LIQUID PROPELLANTS AND FUELS, PETROLEUM BASE",141901.66,0,DEPT OF THE AIR FORCE,2.59
8713,2020M11,SUPPORT ACTIVITIES FOR OIL AND GAS OPERATIONS,"OTHER QC/TEST/INSPECT- FUELS, LUBRICANTS, OILS, AND WAXES",17078.07,MISCELLANEOUS FOREIGN AWARDEES,"STATE, DEPARTMENT OF",2.59
8723,2020M12,CRUDE PETROLEUM AND NATURAL GAS EXTRACTION,GASES: COMPRESSED AND LIQUEFIED,154261.49,"CENTERPOINT ENERGY SERVICES, INC.",DEPT OF THE ARMY,2.54
8724,2020M12,CRUDE PETROLEUM AND NATURAL GAS EXTRACTION,UTILITIES- GAS,50500.0,"CONSTELLATION NEWENERGY - GAS DIVISION, LLC",RAILROAD RETIREMENT BOARD,2.54
8728,2020M12,NATURAL GAS EXTRACTION,GASES: COMPRESSED AND LIQUEFIED,31550.75,"CONSTELLATION NEWENERGY - GAS DIVISION, LLC",DEPT OF THE ARMY,2.54
8729,2020M12,NATURAL GAS EXTRACTION,GASES: COMPRESSED AND LIQUEFIED,43956.8,"UGI ENERGY SERVICES, LLC",DEPT OF THE ARMY,2.54
8730,2020M12,NATURAL GAS EXTRACTION,GASES: COMPRESSED AND LIQUEFIED,214884.38,"CONSTELLATION NEWENERGY - GAS DIVISION, LLC",DEPT OF THE ARMY,2.54
8731,2020M12,NATURAL GAS EXTRACTION,GASES: COMPRESSED AND LIQUEFIED,302983.65,"SYMMETRY ENERGY SOLUTIONS, LLC",DEPT OF THE ARMY,2.54
8732,2020M12,NATURAL GAS EXTRACTION,GASES: COMPRESSED AND LIQUEFIED,359333.24,"SAGE ENERGY TRADING, LLC",DEPT OF THE AIR FORCE,2.54
8733,2020M12,NATURAL GAS EXTRACTION,GASES: COMPRESSED AND LIQUEFIED,389206.45,"HIGH DESERT PIPELINE, INC.",DEPT OF THE ARMY,2.54
8734,2020M12,NATURAL GAS EXTRACTION,GASES: COMPRESSED AND LIQUEFIED,487904.44,"SAGE ENERGY TRADING, LLC",DEPT OF THE AIR FORCE,2.54
8735,2020M12,NATURAL GAS EXTRACTION,GASES: COMPRESSED AND LIQUEFIED,778545.39,"WGL ENERGY SERVICES, INC.",DEFENSE LOGISTICS AGENCY,2.54
8736,2020M12,NATURAL GAS EXTRACTION,UTILITIES- ELECTRIC,304032.84,MIDAMERICAN ENERGY COMPANY,BUREAU OF INDIAN AFFAIRS,2.54
8737,2020M12,NATURAL GAS EXTRACTION,UTILITIES- GAS,140000.0,"CONSTELLATION NEWENERGY - GAS DIVISION, LLC",FEDERAL PRISON SYSTEM / BUREAU OF PRISONS,2.54
8738,2020M12,NATURAL GAS LIQUID EXTRACTION,GASES: COMPRESSED AND LIQUEFIED,0.0,"WESTFA VERTRIEBS- UND VERWALTUNGS-GMBHWESTFA VERTRIEBS- UND VERWALTUNGS-GMBHGIGA, INC.",DEPT OF THE AIR FORCEDEPT OF THE AIR FORCEFEDERAL ACQUISITION SERVICE,2.54
8739,2020M12,NATURAL GAS LIQUID EXTRACTION,GASES: COMPRESSED AND LIQUEFIED,98.0,"GIGA, INC.GIGA, INC.GIGA, INC.GIGA, INC.GIGA, INC.",FEDERAL ACQUISITION SERVICEFEDERAL ACQUISITION SERVICEFEDERAL ACQUISITION SERVICEFEDERAL ACQUISITION SERVICEFEDERAL ACQUISITION SERVICE,2.54
8740,2020M12,NATURAL GAS LIQUID EXTRACTION,GASES: COMPRESSED AND LIQUEFIED,196.0,"GIGA, INC.GIGA, INC.GIGA, INC.GIGA, INC.",FEDERAL ACQUISITION SERVICEFEDERAL ACQUISITION SERVICEFEDERAL ACQUISITION SERVICEFEDERAL ACQUISITION SERVICE,2.54
