naics_description,product_or_service_code_description,award_base_action_date,total_obligated_amount
SUPPORT ACTIVITIES FOR COAL MINING,PACKING AND GASKET MATERIALS,2018M01,18196.8
SUPPORT ACTIVITIES FOR COAL MINING,PACKING AND GASKET MATERIALS,2018M02,322.74
SUPPORT ACTIVITIES FOR COAL MINING,PACKING AND GASKET MATERIALS,2018M02,1752.75
SUPPORT ACTIVITIES FOR COAL MINING,PACKING AND GASKET MATERIALS,2018M03,0.0
SUPPORT ACTIVITIES FOR COAL MINING,PACKING AND GASKET MATERIALS,2018M03,745.92
SUPPORT ACTIVITIES FOR COAL MINING,PACKING AND GASKET MATERIALS,2018M03,790.6
SUPPORT ACTIVITIES FOR COAL MINING,PACKING AND GASKET MATERIALS,2018M03,1781.1
SUPPORT ACTIVITIES FOR COAL MINING,PACKING AND GASKET MATERIALS,2018M03,5005.28
SUPPORT ACTIVITIES FOR COAL MINING,PACKING AND GASKET MATERIALS,2018M04,499.26
SUPPORT ACTIVITIES FOR COAL MINING,PACKING AND GASKET MATERIALS,2018M04,3856.05
SUPPORT ACTIVITIES FOR COAL MINING,PACKING AND GASKET MATERIALS,2018M05,0.0
SUPPORT ACTIVITIES FOR COAL MINING,PACKING AND GASKET MATERIALS,2018M05,138.6
SUPPORT ACTIVITIES FOR COAL MINING,PACKING AND GASKET MATERIALS,2018M05,168.0
SUPPORT ACTIVITIES FOR COAL MINING,PACKING AND GASKET MATERIALS,2018M05,820.04
SUPPORT ACTIVITIES FOR COAL MINING,PACKING AND GASKET MATERIALS,2018M05,6433.08
SUPPORT ACTIVITIES FOR COAL MINING,PACKING AND GASKET MATERIALS,2018M05,21034.26
SUPPORT ACTIVITIES FOR COAL MINING,PACKING AND GASKET MATERIALS,2018M06,109.65
SUPPORT ACTIVITIES FOR COAL MINING,PACKING AND GASKET MATERIALS,2018M06,298.0
SUPPORT ACTIVITIES FOR COAL MINING,PACKING AND GASKET MATERIALS,2018M06,1489.5
SUPPORT ACTIVITIES FOR COAL MINING,PACKING AND GASKET MATERIALS,2018M06,14737.46
SUPPORT ACTIVITIES FOR COAL MINING,PACKING AND GASKET MATERIALS,2018M07,135.0
SUPPORT ACTIVITIES FOR COAL MINING,PACKING AND GASKET MATERIALS,2018M07,638.25
SUPPORT ACTIVITIES FOR COAL MINING,PACKING AND GASKET MATERIALS,2018M07,6912.26
SUPPORT ACTIVITIES FOR COAL MINING,PACKING AND GASKET MATERIALS,2018M08,2086.72
SUPPORT ACTIVITIES FOR COAL MINING,PACKING AND GASKET MATERIALS,2018M08,2103.3
SUPPORT ACTIVITIES FOR COAL MINING,PACKING AND GASKET MATERIALS,2018M09,20.0
SUPPORT ACTIVITIES FOR COAL MINING,PACKING AND GASKET MATERIALS,2018M09,20.05
SUPPORT ACTIVITIES FOR COAL MINING,PACKING AND GASKET MATERIALS,2018M09,310.0
SUPPORT ACTIVITIES FOR COAL MINING,PACKING AND GASKET MATERIALS,2018M09,661.71
SUPPORT ACTIVITIES FOR COAL MINING,PACKING AND GASKET MATERIALS,2018M09,1827.84
SUPPORT ACTIVITIES FOR COAL MINING,PACKING AND GASKET MATERIALS,2018M10,3782.18
SUPPORT ACTIVITIES FOR COAL MINING,PACKING AND GASKET MATERIALS,2018M11,413.1
SUPPORT ACTIVITIES FOR COAL MINING,PACKING AND GASKET MATERIALS,2018M11,1730.12
SUPPORT ACTIVITIES FOR COAL MINING,PACKING AND GASKET MATERIALS,2018M11,2299.59
SUPPORT ACTIVITIES FOR COAL MINING,PACKING AND GASKET MATERIALS,2018M11,3702.72
SUPPORT ACTIVITIES FOR COAL MINING,PACKING AND GASKET MATERIALS,2018M11,9772.14
SUPPORT ACTIVITIES FOR COAL MINING,PACKING AND GASKET MATERIALS,2018M11,13954.94
SUPPORT ACTIVITIES FOR COAL MINING,PACKING AND GASKET MATERIALS,2018M12,517.56
SUPPORT ACTIVITIES FOR COAL MINING,PACKING AND GASKET MATERIALS,2018M12,896.35
SUPPORT ACTIVITIES FOR COAL MINING,PACKING AND GASKET MATERIALS,2018M12,1470.0
SUPPORT ACTIVITIES FOR COAL MINING,PACKING AND GASKET MATERIALS,2018M12,6433.08
SUPPORT ACTIVITIES FOR COAL MINING,PACKING AND GASKET MATERIALS,2018M12,126510.0
SUPPORT ACTIVITIES FOR COAL MINING,PACKING AND GASKET MATERIALS,2019M01,8231.02
SUPPORT ACTIVITIES FOR COAL MINING,PACKING AND GASKET MATERIALS,2019M02,250.04
SUPPORT ACTIVITIES FOR COAL MINING,PACKING AND GASKET MATERIALS,2019M02,297.0
SUPPORT ACTIVITIES FOR COAL MINING,PACKING AND GASKET MATERIALS,2019M02,574.6
SUPPORT ACTIVITIES FOR COAL MINING,PACKING AND GASKET MATERIALS,2019M02,584.8
SUPPORT ACTIVITIES FOR COAL MINING,PACKING AND GASKET MATERIALS,2019M03,126.3
SUPPORT ACTIVITIES FOR COAL MINING,PACKING AND GASKET MATERIALS,2019M03,297.0
SUPPORT ACTIVITIES FOR COAL MINING,PACKING AND GASKET MATERIALS,2019M04,0.0
SUPPORT ACTIVITIES FOR COAL MINING,PACKING AND GASKET MATERIALS,2019M05,166.81
SUPPORT ACTIVITIES FOR COAL MINING,PACKING AND GASKET MATERIALS,2019M06,390.88
SUPPORT ACTIVITIES FOR COAL MINING,PACKING AND GASKET MATERIALS,2019M06,2190.0
SUPPORT ACTIVITIES FOR COAL MINING,PACKING AND GASKET MATERIALS,2019M06,55115.7
SUPPORT ACTIVITIES FOR COAL MINING,PACKING AND GASKET MATERIALS,2019M07,5022.54
SUPPORT ACTIVITIES FOR COAL MINING,PACKING AND GASKET MATERIALS,2019M07,5613.3
SUPPORT ACTIVITIES FOR COAL MINING,PACKING AND GASKET MATERIALS,2019M08,65.25
SUPPORT ACTIVITIES FOR COAL MINING,PACKING AND GASKET MATERIALS,2019M08,130.5
SUPPORT ACTIVITIES FOR COAL MINING,PACKING AND GASKET MATERIALS,2019M08,2317.92
SUPPORT ACTIVITIES FOR COAL MINING,PACKING AND GASKET MATERIALS,2019M09,2493.9
SUPPORT ACTIVITIES FOR COAL MINING,PACKING AND GASKET MATERIALS,2019M10,1356.6
SUPPORT ACTIVITIES FOR COAL MINING,PACKING AND GASKET MATERIALS,2019M10,5112.24
SUPPORT ACTIVITIES FOR COAL MINING,PACKING AND GASKET MATERIALS,2019M11,99.95
SUPPORT ACTIVITIES FOR COAL MINING,PACKING AND GASKET MATERIALS,2019M11,3920.0
SUPPORT ACTIVITIES FOR COAL MINING,PACKING AND GASKET MATERIALS,2019M12,938.4
SUPPORT ACTIVITIES FOR COAL MINING,PACKING AND GASKET MATERIALS,2019M12,1408.0
SUPPORT ACTIVITIES FOR COAL MINING,PACKING AND GASKET MATERIALS,2019M12,2816.88
SUPPORT ACTIVITIES FOR COAL MINING,PACKING AND GASKET MATERIALS,2019M12,7606.0
SUPPORT ACTIVITIES FOR COAL MINING,PACKING AND GASKET MATERIALS,2020M01,684.75
SUPPORT ACTIVITIES FOR COAL MINING,PACKING AND GASKET MATERIALS,2020M01,2190.96
SUPPORT ACTIVITIES FOR COAL MINING,PACKING AND GASKET MATERIALS,2020M02,0.0
SUPPORT ACTIVITIES FOR COAL MINING,PACKING AND GASKET MATERIALS,2020M02,1132.2
SUPPORT ACTIVITIES FOR COAL MINING,PACKING AND GASKET MATERIALS,2020M02,8450.0
SUPPORT ACTIVITIES FOR COAL MINING,PACKING AND GASKET MATERIALS,2020M03,670.45
SUPPORT ACTIVITIES FOR COAL MINING,PACKING AND GASKET MATERIALS,2020M03,29666.0
SUPPORT ACTIVITIES FOR COAL MINING,PACKING AND GASKET MATERIALS,2020M04,82.43
SUPPORT ACTIVITIES FOR COAL MINING,PACKING AND GASKET MATERIALS,2020M04,251.85
SUPPORT ACTIVITIES FOR COAL MINING,PACKING AND GASKET MATERIALS,2020M05,82.43
SUPPORT ACTIVITIES FOR COAL MINING,PACKING AND GASKET MATERIALS,2020M06,47.0
SUPPORT ACTIVITIES FOR COAL MINING,PACKING AND GASKET MATERIALS,2020M06,50.0
SUPPORT ACTIVITIES FOR COAL MINING,PACKING AND GASKET MATERIALS,2020M06,1154.02
SUPPORT ACTIVITIES FOR COAL MINING,PACKING AND GASKET MATERIALS,2020M06,2145.7
SUPPORT ACTIVITIES FOR COAL MINING,PACKING AND GASKET MATERIALS,2020M07,82.43
SUPPORT ACTIVITIES FOR COAL MINING,PACKING AND GASKET MATERIALS,2020M07,310.0
SUPPORT ACTIVITIES FOR COAL MINING,PACKING AND GASKET MATERIALS,2020M07,367.2
SUPPORT ACTIVITIES FOR COAL MINING,PACKING AND GASKET MATERIALS,2020M08,659.44
SUPPORT ACTIVITIES FOR COAL MINING,PACKING AND GASKET MATERIALS,2020M09,132.0
SUPPORT ACTIVITIES FOR COAL MINING,PACKING AND GASKET MATERIALS,2020M09,425.0
SUPPORT ACTIVITIES FOR COAL MINING,PACKING AND GASKET MATERIALS,2020M09,3164.72
SUPPORT ACTIVITIES FOR COAL MINING,PACKING AND GASKET MATERIALS,2020M09,5409.4
SUPPORT ACTIVITIES FOR COAL MINING,PACKING AND GASKET MATERIALS,2020M10,0.0
SUPPORT ACTIVITIES FOR COAL MINING,PACKING AND GASKET MATERIALS,2020M10,90.09
SUPPORT ACTIVITIES FOR COAL MINING,PACKING AND GASKET MATERIALS,2020M10,164.86
SUPPORT ACTIVITIES FOR COAL MINING,PACKING AND GASKET MATERIALS,2020M10,1101.92
SUPPORT ACTIVITIES FOR COAL MINING,PACKING AND GASKET MATERIALS,2020M10,1461.75
SUPPORT ACTIVITIES FOR COAL MINING,PACKING AND GASKET MATERIALS,2020M10,2368.8
SUPPORT ACTIVITIES FOR COAL MINING,PACKING AND GASKET MATERIALS,2020M10,3408.16
SUPPORT ACTIVITIES FOR COAL MINING,PACKING AND GASKET MATERIALS,2020M10,5761.8
SUPPORT ACTIVITIES FOR COAL MINING,PACKING AND GASKET MATERIALS,2020M11,494.58
SUPPORT ACTIVITIES FOR COAL MINING,PACKING AND GASKET MATERIALS,2020M11,4958.64
SUPPORT ACTIVITIES FOR COAL MINING,PACKING AND GASKET MATERIALS,2020M12,21.3
SUPPORT ACTIVITIES FOR COAL MINING,PACKING AND GASKET MATERIALS,2021M01,31.95
SUPPORT ACTIVITIES FOR COAL MINING,PACKING AND GASKET MATERIALS,2021M01,2744.0
SUPPORT ACTIVITIES FOR COAL MINING,PACKING AND GASKET MATERIALS,2021M02,583.2
SUPPORT ACTIVITIES FOR COAL MINING,PACKING AND GASKET MATERIALS,2021M03,247.29
SUPPORT ACTIVITIES FOR COAL MINING,PACKING AND GASKET MATERIALS,2021M03,429.5
SUPPORT ACTIVITIES FOR COAL MINING,PACKING AND GASKET MATERIALS,2021M05,504.24
SUPPORT ACTIVITIES FOR COAL MINING,PACKING AND GASKET MATERIALS,2021M05,781.75
SUPPORT ACTIVITIES FOR COAL MINING,PACKING AND GASKET MATERIALS,2021M05,2618.0
SUPPORT ACTIVITIES FOR COAL MINING,PACKING AND GASKET MATERIALS,2021M06,0.0
SUPPORT ACTIVITIES FOR COAL MINING,PACKING AND GASKET MATERIALS,2021M07,504.24
SUPPORT ACTIVITIES FOR COAL MINING,PACKING AND GASKET MATERIALS,2021M08,120.0
SUPPORT ACTIVITIES FOR COAL MINING,PACKING AND GASKET MATERIALS,2021M08,504.24
SUPPORT ACTIVITIES FOR COAL MINING,PACKING AND GASKET MATERIALS,2021M08,714.0
SUPPORT ACTIVITIES FOR COAL MINING,PACKING AND GASKET MATERIALS,2021M09,152.39
SUPPORT ACTIVITIES FOR COAL MINING,PACKING AND GASKET MATERIALS,2021M09,396.72
SUPPORT ACTIVITIES FOR COAL MINING,PACKING AND GASKET MATERIALS,2021M09,575.04
SUPPORT ACTIVITIES FOR COAL MINING,PACKING AND GASKET MATERIALS,2021M09,788.1
SUPPORT ACTIVITIES FOR COAL MINING,PACKING AND GASKET MATERIALS,2021M09,1153.81
SUPPORT ACTIVITIES FOR COAL MINING,PACKING AND GASKET MATERIALS,2021M09,5573.12
SUPPORT ACTIVITIES FOR COAL MINING,PACKING AND GASKET MATERIALS,2021M09,15500.24
SUPPORT ACTIVITIES FOR COAL MINING,"PARACHUTES; AERIAL PICK UP, DELIVERY, RECOVERY SYSTEMS; AND CARGO TIE DOWN EQUIPMENT",2019M05,0.0
SUPPORT ACTIVITIES FOR COAL MINING,R&D- GENERAL SCIENCE/TECHNOLOGY: ENGINEERING (ENGINEERING DEVELOPMENT),2020M09,273025.0
SUPPORT ACTIVITIES FOR COAL MINING,R&D- GENERAL SCIENCE/TECHNOLOGY: OTHER (ENGINEERING DEVELOPMENT),2018M06,6970.0
SUPPORT ACTIVITIES FOR COAL MINING,R&D- MINING: OTHER MINING ACTIVITIES (OPERATIONAL SYSTEMS DEVELOPMENT),2018M03,145150.0
SUPPORT ACTIVITIES FOR COAL MINING,R&D- MINING: SUBSURFACE MINING METHODS (BASIC RESEARCH),2019M06,57870.0
SUPPORT ACTIVITIES FOR COAL MINING,RIVETS,2017M05,3232.05
SUPPORT ACTIVITIES FOR COAL MINING,RIVETS,2021M03,10347.24
SUPPORT ACTIVITIES FOR COAL MINING,SAFETY AND RESCUE EQUIPMENT,2018M06,18763.85
SUPPORT ACTIVITIES FOR COAL MINING,SOUND RECORDING AND REPRODUCING EQUIPMENT,2018M03,2749.0
SUPPORT ACTIVITIES FOR COAL MINING,SOUND RECORDING AND REPRODUCING EQUIPMENT,2018M10,6297.0
SUPPORT ACTIVITIES FOR COAL MINING,SPECIAL STUDIES/ANALYSIS- ARCHEOLOGICAL/PALEONTOLOGICAL,2019M09,143353.4
SUPPORT ACTIVITIES FOR COAL MINING,SPECIAL STUDIES/ANALYSIS- ECONOMIC,2017M06,74464.89
SUPPORT ACTIVITIES FOR COAL MINING,SUPPORT- PROFESSIONAL: EXPERT WITNESS,2016M07,10000.0
SUPPORT ACTIVITIES FOR COAL MINING,SUPPORT- PROFESSIONAL: OTHER,2016M07,4999.5
SUPPORT ACTIVITIES FOR COAL MINING,SUPPORT- PROFESSIONAL: OTHER,2017M06,109999.98
SUPPORT ACTIVITIES FOR COAL MINING,SUPPORT- PROFESSIONAL: OTHER,2021M05,46550.0
SUPPORT ACTIVITIES FOR COAL MINING,SUPPORT- PROFESSIONAL: PROGRAM EVALUATION/REVIEW/DEVELOPMENT,2017M02,3200.0
SUPPORT ACTIVITIES FOR COAL MINING,SUPPORT- PROFESSIONAL: PROGRAM MANAGEMENT/SUPPORT,2017M03,16000.0
SUPPORT ACTIVITIES FOR COAL MINING,VEHICULAR POWER TRANSMISSION COMPONENTS,2018M01,2275.0
SUPPORT ACTIVITIES FOR COAL MINING,VEHICULAR POWER TRANSMISSION COMPONENTS,2018M02,3500.0
SUPPORT ACTIVITIES FOR COAL MINING,VEHICULAR POWER TRANSMISSION COMPONENTS,2018M11,3375.0
SUPPORT ACTIVITIES FOR COAL MINING,VEHICULAR POWER TRANSMISSION COMPONENTS,2019M01,3742.5
SUPPORT ACTIVITIES FOR COAL MINING,VEHICULAR POWER TRANSMISSION COMPONENTS,2019M08,1980.0
SUPPORT ACTIVITIES FOR COAL MINING,VEHICULAR POWER TRANSMISSION COMPONENTS,2021M07,0.0
SUPPORT ACTIVITIES FOR METAL MINING,GEOPHYSICAL INSTRUMENTS,2016M08,4107.6
SUPPORT ACTIVITIES FOR METAL MINING,LABORATORY EQUIPMENT AND SUPPLIES,2018M02,5731.31
SUPPORT ACTIVITIES FOR METAL MINING,LEASE OR RENTAL OF EQUIPMENT- MISCELLANEOUS,2017M12,4200.0
SUPPORT ACTIVITIES FOR METAL MINING,LEASE/RENTAL OF CONFERENCE SPACE AND FACILITIES,2017M08,1500.0
SUPPORT ACTIVITIES FOR METAL MINING,"MAINT/REPAIR/REBUILD OF EQUIPMENT- MEDICAL, DENTAL, AND VETERINARY EQUIPMENT AND SUPPLIES",2020M06,3100.0
SUPPORT ACTIVITIES FOR METAL MINING,MISCELLANEOUS POWER TRANSMISSION EQUIPMENT,2020M08,127000.0
SUPPORT ACTIVITIES FOR METAL MINING,OTHER ENVIRONMENTAL SERVICES,2016M09,7622.0
SUPPORT ACTIVITIES FOR METAL MINING,R&D- GENERAL SCIENCE/TECHNOLOGY: OTHER (ENGINEERING DEVELOPMENT),2019M06,15507.0
SUPPORT ACTIVITIES FOR METAL MINING,SPECIAL STUDIES/ANALYSIS- GEOLOGICAL,2021M09,30000.0
SUPPORT ACTIVITIES FOR METAL MINING,SPECIAL STUDIES/ANALYSIS- SCIENTIFIC DATA,2016M03,17500.0
SUPPORT ACTIVITIES FOR METAL MINING,SPECIAL STUDIES/ANALYSIS- SCIENTIFIC DATA,2020M09,12480.0
SUPPORT ACTIVITIES FOR METAL MINING,SUPPORT- PROFESSIONAL: OPERATIONS RESEARCH/QUANTITATIVE ANALYSIS,2018M02,33650.0
SUPPORT ACTIVITIES FOR METAL MINING,"VEHICULAR BRAKE, STEERING, AXLE, WHEEL, AND TRACK COMPONENTS",2019M01,11999.45
SUPPORT ACTIVITIES FOR NONMETALLIC MINERALS (EXCEPT FUELS),EQUIPMENT AND MATERIALS TESTING- MISCELLANEOUS,2017M06,0.0
SUPPORT ACTIVITIES FOR NONMETALLIC MINERALS (EXCEPT FUELS),EQUIPMENT AND MATERIALS TESTING- MISCELLANEOUS,2017M06,27989.62
SUPPORT ACTIVITIES FOR NONMETALLIC MINERALS (EXCEPT FUELS),EQUIPMENT AND MATERIALS TESTING- MISCELLANEOUS,2017M09,42995.28
SUPPORT ACTIVITIES FOR NONMETALLIC MINERALS (EXCEPT FUELS),EQUIPMENT AND MATERIALS TESTING- MISCELLANEOUS,2018M04,133473.58
SUPPORT ACTIVITIES FOR NONMETALLIC MINERALS (EXCEPT FUELS),EQUIPMENT AND MATERIALS TESTING- MISCELLANEOUS,2018M08,141332.08
SUPPORT ACTIVITIES FOR NONMETALLIC MINERALS (EXCEPT FUELS),EQUIPMENT AND MATERIALS TESTING- MISCELLANEOUS,2019M03,140947.17
SUPPORT ACTIVITIES FOR NONMETALLIC MINERALS (EXCEPT FUELS),EQUIPMENT AND MATERIALS TESTING- MISCELLANEOUS,2019M08,102898.68
SUPPORT ACTIVITIES FOR NONMETALLIC MINERALS (EXCEPT FUELS),EQUIPMENT AND MATERIALS TESTING- MISCELLANEOUS,2020M02,188443.4
SUPPORT ACTIVITIES FOR NONMETALLIC MINERALS (EXCEPT FUELS),EQUIPMENT AND MATERIALS TESTING- MISCELLANEOUS,2020M03,39613.21
SUPPORT ACTIVITIES FOR NONMETALLIC MINERALS (EXCEPT FUELS),EQUIPMENT AND MATERIALS TESTING- MISCELLANEOUS,2020M07,24957.08
SUPPORT ACTIVITIES FOR NONMETALLIC MINERALS (EXCEPT FUELS),FUEL OILS,2017M10,3961.21
SUPPORT ACTIVITIES FOR NONMETALLIC MINERALS (EXCEPT FUELS),INSPECTION- NONMETALLIC FABRICATED MATERIALS,2019M02,3384.0
SUPPORT ACTIVITIES FOR NONMETALLIC MINERALS (EXCEPT FUELS),"INSPECTION- ORES, MINERALS, AND THEIR PRIMARY PRODUCTS",2016M12,36718.75
SUPPORT ACTIVITIES FOR NONMETALLIC MINERALS (EXCEPT FUELS),"MAINT/REPAIR/REBUILD OF EQUIPMENT- SHIPS, SMALL CRAFT, PONTOONS, AND FLOATING DOCKS",2016M11,19980.0
SUPPORT ACTIVITIES FOR NONMETALLIC MINERALS (EXCEPT FUELS),MAINTENANCE OF FUEL SUPPLY FACILITIES,2017M06,19008.73
SUPPORT ACTIVITIES FOR NONMETALLIC MINERALS (EXCEPT FUELS),"MINERALS, NATURAL AND SYNTHETIC",2019M03,0.0
SUPPORT ACTIVITIES FOR NONMETALLIC MINERALS (EXCEPT FUELS),NATURAL RESOURCES/CONSERVATION- WELL DRILLING/EXPLORATORY,2016M01,28400.5
SUPPORT ACTIVITIES FOR NONMETALLIC MINERALS (EXCEPT FUELS),NATURAL RESOURCES/CONSERVATION- WELL DRILLING/EXPLORATORY,2016M01,49862.5
SUPPORT ACTIVITIES FOR NONMETALLIC MINERALS (EXCEPT FUELS),NATURAL RESOURCES/CONSERVATION- WELL DRILLING/EXPLORATORY,2016M03,476170.25
SUPPORT ACTIVITIES FOR NONMETALLIC MINERALS (EXCEPT FUELS),NATURAL RESOURCES/CONSERVATION- WELL DRILLING/EXPLORATORY,2016M05,12329.3
SUPPORT ACTIVITIES FOR NONMETALLIC MINERALS (EXCEPT FUELS),NATURAL RESOURCES/CONSERVATION- WELL DRILLING/EXPLORATORY,2016M05,23873.0
SUPPORT ACTIVITIES FOR NONMETALLIC MINERALS (EXCEPT FUELS),NATURAL RESOURCES/CONSERVATION- WELL DRILLING/EXPLORATORY,2016M07,25513.0
SUPPORT ACTIVITIES FOR NONMETALLIC MINERALS (EXCEPT FUELS),NATURAL RESOURCES/CONSERVATION- WELL DRILLING/EXPLORATORY,2016M08,37430.5
SUPPORT ACTIVITIES FOR NONMETALLIC MINERALS (EXCEPT FUELS),NATURAL RESOURCES/CONSERVATION- WELL DRILLING/EXPLORATORY,2016M10,37666.33
SUPPORT ACTIVITIES FOR NONMETALLIC MINERALS (EXCEPT FUELS),NATURAL RESOURCES/CONSERVATION- WELL DRILLING/EXPLORATORY,2016M10,137075.75
SUPPORT ACTIVITIES FOR NONMETALLIC MINERALS (EXCEPT FUELS),NATURAL RESOURCES/CONSERVATION- WELL DRILLING/EXPLORATORY,2017M03,186619.75
SUPPORT ACTIVITIES FOR NONMETALLIC MINERALS (EXCEPT FUELS),NATURAL RESOURCES/CONSERVATION- WELL DRILLING/EXPLORATORY,2017M03,654676.0
SUPPORT ACTIVITIES FOR NONMETALLIC MINERALS (EXCEPT FUELS),NATURAL RESOURCES/CONSERVATION- WELL DRILLING/EXPLORATORY,2017M04,0.0
SUPPORT ACTIVITIES FOR NONMETALLIC MINERALS (EXCEPT FUELS),NATURAL RESOURCES/CONSERVATION- WELL DRILLING/EXPLORATORY,2017M04,16965.0
SUPPORT ACTIVITIES FOR NONMETALLIC MINERALS (EXCEPT FUELS),NATURAL RESOURCES/CONSERVATION- WELL DRILLING/EXPLORATORY,2017M05,8060.0
SUPPORT ACTIVITIES FOR NONMETALLIC MINERALS (EXCEPT FUELS),NATURAL RESOURCES/CONSERVATION- WELL DRILLING/EXPLORATORY,2017M06,31512.5
SUPPORT ACTIVITIES FOR NONMETALLIC MINERALS (EXCEPT FUELS),NATURAL RESOURCES/CONSERVATION- WELL DRILLING/EXPLORATORY,2017M06,35927.5
SUPPORT ACTIVITIES FOR NONMETALLIC MINERALS (EXCEPT FUELS),NATURAL RESOURCES/CONSERVATION- WELL DRILLING/EXPLORATORY,2017M08,145610.25
SUPPORT ACTIVITIES FOR NONMETALLIC MINERALS (EXCEPT FUELS),NATURAL RESOURCES/CONSERVATION- WELL DRILLING/EXPLORATORY,2017M11,10910.5
SUPPORT ACTIVITIES FOR NONMETALLIC MINERALS (EXCEPT FUELS),NATURAL RESOURCES/CONSERVATION- WELL DRILLING/EXPLORATORY,2018M01,263615.5
SUPPORT ACTIVITIES FOR NONMETALLIC MINERALS (EXCEPT FUELS),NATURAL RESOURCES/CONSERVATION- WELL DRILLING/EXPLORATORY,2018M04,0.0
SUPPORT ACTIVITIES FOR NONMETALLIC MINERALS (EXCEPT FUELS),NATURAL RESOURCES/CONSERVATION- WELL DRILLING/EXPLORATORY,2018M06,109691.0
SUPPORT ACTIVITIES FOR NONMETALLIC MINERALS (EXCEPT FUELS),NATURAL RESOURCES/CONSERVATION- WELL DRILLING/EXPLORATORY,2018M06,141234.0
SUPPORT ACTIVITIES FOR NONMETALLIC MINERALS (EXCEPT FUELS),NATURAL RESOURCES/CONSERVATION- WELL DRILLING/EXPLORATORY,2018M06,276580.1
SUPPORT ACTIVITIES FOR NONMETALLIC MINERALS (EXCEPT FUELS),NATURAL RESOURCES/CONSERVATION- WELL DRILLING/EXPLORATORY,2018M07,34408.5
SUPPORT ACTIVITIES FOR NONMETALLIC MINERALS (EXCEPT FUELS),NATURAL RESOURCES/CONSERVATION- WELL DRILLING/EXPLORATORY,2018M07,160905.25
SUPPORT ACTIVITIES FOR NONMETALLIC MINERALS (EXCEPT FUELS),NATURAL RESOURCES/CONSERVATION- WELL DRILLING/EXPLORATORY,2018M08,44467.0
SUPPORT ACTIVITIES FOR NONMETALLIC MINERALS (EXCEPT FUELS),NATURAL RESOURCES/CONSERVATION- WELL DRILLING/EXPLORATORY,2018M08,324848.5
SUPPORT ACTIVITIES FOR NONMETALLIC MINERALS (EXCEPT FUELS),NATURAL RESOURCES/CONSERVATION- WELL DRILLING/EXPLORATORY,2018M09,224133.5
SUPPORT ACTIVITIES FOR NONMETALLIC MINERALS (EXCEPT FUELS),NATURAL RESOURCES/CONSERVATION- WELL DRILLING/EXPLORATORY,2019M07,17250.0
SUPPORT ACTIVITIES FOR NONMETALLIC MINERALS (EXCEPT FUELS),NATURAL RESOURCES/CONSERVATION- WELL DRILLING/EXPLORATORY,2020M08,31800.0
SUPPORT ACTIVITIES FOR NONMETALLIC MINERALS (EXCEPT FUELS),NATURAL RESOURCES/CONSERVATION- WELL DRILLING/EXPLORATORY,2021M06,9800.0
SUPPORT ACTIVITIES FOR NONMETALLIC MINERALS (EXCEPT FUELS),NATURAL RESOURCES/CONSERVATION- WELL DRILLING/EXPLORATORY,2021M08,3555.0
SUPPORT ACTIVITIES FOR NONMETALLIC MINERALS (EXCEPT FUELS),NATURAL RESOURCES/CONSERVATION- WELL DRILLING/EXPLORATORY,2021M08,4900.0
SUPPORT ACTIVITIES FOR NONMETALLIC MINERALS (EXCEPT FUELS),"QUALITY CONTROL- FUELS, LUBRICANTS, OILS, AND WAXES",2019M07,1330.0
SUPPORT ACTIVITIES FOR NONMETALLIC MINERALS (EXCEPT FUELS),SPECIAL STUDIES/ANALYSIS- GEOLOGICAL,2017M06,5772.5
SUPPORT ACTIVITIES FOR NONMETALLIC MINERALS (EXCEPT FUELS),SPECIAL STUDIES/ANALYSIS- GEOLOGICAL,2018M01,28764.0
SUPPORT ACTIVITIES FOR NONMETALLIC MINERALS (EXCEPT FUELS),SPECIAL STUDIES/ANALYSIS- GEOLOGICAL,2018M08,22600.0
SUPPORT ACTIVITIES FOR NONMETALLIC MINERALS (EXCEPT FUELS),SPECIAL STUDIES/ANALYSIS- GEOLOGICAL,2018M09,15000.0
SUPPORT ACTIVITIES FOR NONMETALLIC MINERALS (EXCEPT FUELS),SPECIAL STUDIES/ANALYSIS- GEOLOGICAL,2020M08,14850.0
SUPPORT ACTIVITIES FOR NONMETALLIC MINERALS (EXCEPT FUELS),SPECIAL STUDIES/ANALYSIS- GEOPHYSICAL,2016M01,134118.0
SUPPORT ACTIVITIES FOR NONMETALLIC MINERALS (EXCEPT FUELS),SPECIAL STUDIES/ANALYSIS- GEOPHYSICAL,2016M08,67932.0
SUPPORT ACTIVITIES FOR NONMETALLIC MINERALS (EXCEPT FUELS),SPECIAL STUDIES/ANALYSIS- GEOPHYSICAL,2016M09,339357.64
SUPPORT ACTIVITIES FOR NONMETALLIC MINERALS (EXCEPT FUELS),SPECIAL STUDIES/ANALYSIS- GEOPHYSICAL,2017M09,326400.0
SUPPORT ACTIVITIES FOR NONMETALLIC MINERALS (EXCEPT FUELS),SPECIAL STUDIES/ANALYSIS- OTHER,2018M12,88981.13
SUPPORT ACTIVITIES FOR NONMETALLIC MINERALS (EXCEPT FUELS),SPECIAL STUDIES/ANALYSIS- SOIL,2016M01,18674.36
SUPPORT ACTIVITIES FOR NONMETALLIC MINERALS (EXCEPT FUELS),SPECIAL STUDIES/ANALYSIS- SOIL,2016M01,86490.55
