total_obligated_amount,Month,product_or_service_code_description,naics_description,recipient_name,funding_sub_agency_name
0.0,2017M10,"LIQUID PROPELLANTS AND FUELS, PETROLEUM BASE",SUPPORT ACTIVITIES FOR OIL AND GAS OPERATIONS,RYUSEKI CORPORATION,DEPT OF THE AIR FORCE
29795.0,2017M04,CONSTRUCTION OF MISCELLANEOUS BUILDINGS,CONSTRUCTION SAND AND GRAVEL MINING,MISCELLANEOUS FOREIGN AWARDEES,AGENCY FOR INTERNATIONAL DEVELOPMENT
95.24,2020M07,MISCELLANEOUS ELECTRICAL AND ELECTRONIC COMPONENTS,SUPPORT ACTIVITIES FOR COAL MINING,"AVIATION DEVICES AND ELECTRONIC COMPONENTS, L.L.C.",DEFENSE LOGISTICS AGENCY
118988.1,2019M07,"MINERAL CONSTRUCTION MATERIALS, BULK",CRUSHED AND BROKEN LIMESTONE MINING AND QUARRYING,"CLI CONSTRUCTION, INC.",NATIONAL PARK SERVICE
100000.0,2020M06,INSTALLATION OF EQUIPMENT- CONSTRUCTION AND BUILDING MATERIALS,CONSTRUCTION SAND AND GRAVEL MINING,GECOBA,DEPT OF THE AIR FORCE
6169.42,2016M09,SUPPORT- PROFESSIONAL: ENGINEERING/TECHNICAL,SUPPORT ACTIVITIES FOR NONMETALLIC MINERALS (EXCEPT FUELS),BROTCKE WELL & PUMP INC.,DEPT OF THE ARMY
921.6,2016M07,"HARDWARE, COMMERCIAL",SUPPORT ACTIVITIES FOR COAL MINING,L. A. MARTIN COMPANY,DEFENSE LOGISTICS AGENCY
6023.2,2020M04,"MINERAL CONSTRUCTION MATERIALS, BULK",CRUSHED AND BROKEN LIMESTONE MINING AND QUARRYING,"NEW ENTERPRISE STONE & LIME CO., INC.",DEPT OF THE ARMY
6255.55,2016M04,"HARDWARE, COMMERCIAL",SUPPORT ACTIVITIES FOR COAL MINING,BASIC RUBBER AND PLASTICS CO.,DEFENSE LOGISTICS AGENCY
183211.25,2018M09,SAFETY AND RESCUE EQUIPMENT,CRUDE PETROLEUM EXTRACTION,"ATLANTIC DIVING SUPPLY, INC.",DEPT OF THE ARMY
93815.0,2020M07,"MINERAL CONSTRUCTION MATERIALS, BULK",CONSTRUCTION SAND AND GRAVEL MINING,"CROWLEY HOLDINGS, LLC",DEPT OF THE AIR FORCE
