total_obligated_amount,award_base_action_date,period_of_performance_start_date,period_of_performance_current_end_date,period_of_performance_potential_end_date,funding_sub_agency_name,recipient_name,recipient_city_name,recipient_county_name,recipient_state_code,product_or_service_code,product_or_service_code_description,naics_code,naics_description
334775.62,7/16/2015,7/16/2015,9/4/2015 0:00,9/4/2015 0:00,DEPT OF THE ARMY,"IRON MOUNTAIN QUARRY, L.L.C.",BOTHELL,SNOHOMISH,WA,5680,MISCELLANEOUS CONSTRUCTION MATERIALS,212319,OTHER CRUSHED AND BROKEN STONE MINING AND QUARRYING
20915.74,4/8/2020,4/8/2020,4/16/2020 0:00,4/16/2020 0:00,DEPT OF THE ARMY,WHITE HOUSE- LOGISTIC SERVICES AND CONSTRUCTION LTD,BAGHDAD,,,5610,"MINERAL CONSTRUCTION MATERIALS, BULK",212321,CONSTRUCTION SAND AND GRAVEL MINING
33390,2/5/2019,2/5/2019,5/6/2019 0:00,5/6/2019 0:00,DEFENSE LOGISTICS AGENCY,"WOODWARD, INC.",LOVES PARK,WINNEBAGO,IL,3040,MISCELLANEOUS POWER TRANSMISSION EQUIPMENT,213113,SUPPORT ACTIVITIES FOR COAL MINING
14400,7/21/2016,7/21/2016,9/30/2016 0:00,9/30/2016 0:00,DEPT OF THE ARMY,"CEMEX CONSTRUCTION MATERIALS SOUTH, LLC",YUMA,YUMA,AZ,5680,MISCELLANEOUS CONSTRUCTION MATERIALS,212321,CONSTRUCTION SAND AND GRAVEL MINING
21734.16,7/29/2013,7/29/2013,9/30/2013 0:00,9/30/2013 0:00,FOREST SERVICE,"SHARKEY, COUNTY OF",ROLLING FORK,SHARKEY,MS,5610,"MINERAL CONSTRUCTION MATERIALS, BULK",212321,CONSTRUCTION SAND AND GRAVEL MINING
48045.98,8/10/2021,8/10/2021,8/10/2021 0:00,8/10/2021 0:00,DEPT OF THE ARMY,"CONSTELLATION NEWENERGY - GAS DIVISION, LLC",LOUISVILLE,JEFFERSON,KY,6830,GASES: COMPRESSED AND LIQUEFIED,211130,NATURAL GAS EXTRACTION
38628.84,10/11/2016,10/1/2016,5/26/2017 0:00,5/26/2017 0:00,FEDERAL PRISON SYSTEM / BUREAU OF PRISONS,BP ENERGY COMPANY,HOUSTON,HARRIS,TX,S111,UTILITIES- GAS,211111,CRUDE PETROLEUM AND NATURAL GAS EXTRACTION
82321.16,4/16/2020,4/16/2020,5/18/2020 0:00,5/18/2020 0:00,DEFENSE LOGISTICS AGENCY,"AVIATION DEVICES AND ELECTRONIC COMPONENTS, L.L.C.",FORT WORTH,TARRANT,TX,5999,MISCELLANEOUS ELECTRICAL AND ELECTRONIC COMPONENTS,213113,SUPPORT ACTIVITIES FOR COAL MINING
386961.79,3/20/2015,3/20/2015,8/28/2015 0:00,8/28/2015 0:00,DEPT OF THE ARMY,"WADLEY CONSTRUCTION, INC.",LAS VEGAS,CLARK,NV,5610,"MINERAL CONSTRUCTION MATERIALS, BULK",212312,CRUSHED AND BROKEN LIMESTONE MINING AND QUARRYING
1628,5/3/2021,5/3/2021,6/2/2021 0:00,6/2/2021 0:00,DEFENSE LOGISTICS AGENCY,WESCO AIRCRAFT HARDWARE CORP.,FORT WORTH,TARRANT,TX,5340,"HARDWARE, COMMERCIAL",213113,SUPPORT ACTIVITIES FOR COAL MINING
32708.81,9/14/2018,9/14/2018,9/30/2018 0:00,9/30/2018 0:00,DEPT OF THE ARMY,"SUPPLIED INDUSTRIAL SOLUTIONS, INC.",GRANITE CITY,MADISON,IL,3413,DRILLING AND TAPPING MACHINES,213111,DRILLING OIL AND GAS WELLS
6627.28,9/25/2021,9/25/2021,10/25/2021 0:00,10/25/2021 0:00,DEFENSE LOGISTICS AGENCY,"AVIATION DEVICES AND ELECTRONIC COMPONENTS, L.L.C.",FORT WORTH,TARRANT,TX,5999,MISCELLANEOUS ELECTRICAL AND ELECTRONIC COMPONENTS,213113,SUPPORT ACTIVITIES FOR COAL MINING
504,5/11/2016,5/11/2016,7/8/2016 0:00,7/8/2016 0:00,DEFENSE LOGISTICS AGENCY,ESTA PRODUCTS CO.,WARWICK,KENT,RI,5315,"NAILS, MACHINE KEYS, AND PINS",213113,SUPPORT ACTIVITIES FOR COAL MINING
12880.53,9/13/2018,9/13/2018,10/15/2018 0:00,10/15/2018 0:00,DEFENSE LOGISTICS AGENCY,"AVIATION DEVICES AND ELECTRONIC COMPONENTS, L.L.C.",FORT WORTH,TARRANT,TX,5999,MISCELLANEOUS ELECTRICAL AND ELECTRONIC COMPONENTS,213113,SUPPORT ACTIVITIES FOR COAL MINING
