total_obligated_amount,award_base_action_date,period_of_performance_start_date,period_of_performance_current_end_date,period_of_performance_potential_end_date,funding_sub_agency_name,recipient_name,recipient_city_name,recipient_county_name,recipient_state_code,product_or_service_code,product_or_service_code_description,naics_code,naics_description
1205,10/13/2017,10/13/2017,10/27/2017 0:00,10/27/2017 0:00,DEFENSE LOGISTICS AGENCY,ARMY & AIR FORCE EXCHANGE SERVICE,DALLAS,DALLAS,TX,8960,"BEVERAGES, NONALCOHOLIC",212391,"POTASH, SODA, AND BORATE MINERAL MINING"
81560,3/5/2020,3/5/2020,3/16/2020 0:00,3/16/2020 0:00,DEPT OF THE ARMY,"BAYER CONSTRUCTION COMPANY, INC.",MANHATTAN,RILEY,KS,5610,"MINERAL CONSTRUCTION MATERIALS, BULK",212321,CONSTRUCTION SAND AND GRAVEL MINING
361183.35,8/21/2014,8/21/2014,2/10/2017 0:00,2/10/2017 0:00,FOREST SERVICE,SCHUCK DEVELOPMENT CORPORATION,WICKENBURG,MARICOPA,AZ,5610,"MINERAL CONSTRUCTION MATERIALS, BULK",212321,CONSTRUCTION SAND AND GRAVEL MINING
1828,3/7/2016,3/7/2016,5/6/2016 0:00,5/6/2016 0:00,DEFENSE LOGISTICS AGENCY,"JIT INDUSTRIES, INC.",MADISON,LIMESTONE,AL,3040,MISCELLANEOUS POWER TRANSMISSION EQUIPMENT,213113,SUPPORT ACTIVITIES FOR COAL MINING
8507.54,12/13/2016,12/13/2016,12/15/2016 0:00,12/15/2016 0:00,DEPT OF THE ARMY,"AMERESCO SELECT, INC.",FRAMINGHAM,MIDDLESEX,MA,S112,UTILITIES- ELECTRIC,211111,CRUDE PETROLEUM AND NATURAL GAS EXTRACTION
12750,6/24/2021,6/24/2021,7/14/2021 0:00,8/30/2021 0:00,"STATE, DEPARTMENT OF",MISCELLANEOUS FOREIGN AWARDEES,WASHINGTON,DISTRICT OF COLUMBIA,DC,9140,FUEL OILS,213112,SUPPORT ACTIVITIES FOR OIL AND GAS OPERATIONS
188.74,2/13/2020,2/13/2020,3/16/2020 0:00,3/16/2020 0:00,DEFENSE LOGISTICS AGENCY,"AVIATION DEVICES AND ELECTRONIC COMPONENTS, L.L.C.",FORT WORTH,TARRANT,TX,5999,MISCELLANEOUS ELECTRICAL AND ELECTRONIC COMPONENTS,213113,SUPPORT ACTIVITIES FOR COAL MINING
2050,1/6/2017,1/6/2017,1/23/2017 0:00,1/23/2017 0:00,DEFENSE LOGISTICS AGENCY,JAMAICA BEARINGS CO INC,NEW HYDE PARK,NASSAU,NY,3110,"BEARINGS, ANTIFRICTION, UNMOUNTED",213113,SUPPORT ACTIVITIES FOR COAL MINING
332,2/20/2018,2/20/2018,3/1/2018 0:00,3/1/2018 0:00,DEFENSE LOGISTICS AGENCY,ARMY & AIR FORCE EXCHANGE SERVICE,DALLAS,DALLAS,TX,8960,"BEVERAGES, NONALCOHOLIC",212391,"POTASH, SODA, AND BORATE MINERAL MINING"
0,1/4/2018,1/4/2018,2/2/2018 0:00,2/2/2018 0:00,DEFENSE LOGISTICS AGENCY,ARMY & AIR FORCE EXCHANGE SERVICE,DALLAS,DALLAS,TX,8960,"BEVERAGES, NONALCOHOLIC",212391,"POTASH, SODA, AND BORATE MINERAL MINING"
340000,7/17/2015,7/17/2015,11/30/2015 0:00,11/30/2015 0:00,FOREST SERVICE,SCHUCK DEVELOPMENT CORPORATION,WICKENBURG,MARICOPA,AZ,5610,"MINERAL CONSTRUCTION MATERIALS, BULK",212321,CONSTRUCTION SAND AND GRAVEL MINING
5250,11/6/2017,11/6/2017,11/28/2017 0:00,11/28/2017 0:00,DEFENSE LOGISTICS AGENCY,ARMY & AIR FORCE EXCHANGE SERVICE,DALLAS,DALLAS,TX,8960,"BEVERAGES, NONALCOHOLIC",212391,"POTASH, SODA, AND BORATE MINERAL MINING"
191.1,1/6/2017,1/6/2017,3/14/2017 0:00,3/14/2017 0:00,DEFENSE LOGISTICS AGENCY,"HERNDON PRODUCTS, LLC",O FALLON,ST. CHARLES,MO,5330,PACKING AND GASKET MATERIALS,213113,SUPPORT ACTIVITIES FOR COAL MINING
2000,12/30/2019,12/30/2019,12/30/2019 0:00,12/30/2019 0:00,DEPT OF THE ARMY,"WILLARD QUARRIES, INC.",LEBANON,LACLEDE,MO,5610,"MINERAL CONSTRUCTION MATERIALS, BULK",212312,CRUSHED AND BROKEN LIMESTONE MINING AND QUARRYING
44389,2/19/2020,2/19/2020,12/31/2020 0:00,4/14/2022 0:00,FOREST SERVICE,"BOXLEY AGGREGATES OF WEST VIRGINIA, L.L.C.",LEWISBURG,GREENBRIER,WV,5610,"MINERAL CONSTRUCTION MATERIALS, BULK",212312,CRUSHED AND BROKEN LIMESTONE MINING AND QUARRYING
5136,10/22/2018,10/22/2018,4/10/2019 0:00,4/10/2019 0:00,DEFENSE LOGISTICS AGENCY,GALAXY DIE & ENGINEERING INC,SANTA CLARITA,LOS ANGELES,CA,3120,"BEARINGS, PLAIN, UNMOUNTED",213113,SUPPORT ACTIVITIES FOR COAL MINING
122281.47,3/27/2020,9/1/2020,9/30/2020 0:00,9/30/2020 0:00,DEPT OF THE ARMY,"CONSTELLATION NEWENERGY - GAS DIVISION, LLC",LOUISVILLE,JEFFERSON,KY,6830,GASES: COMPRESSED AND LIQUEFIED,211130,NATURAL GAS EXTRACTION
471278.21,12/1/2019,12/1/2019,11/30/2020 0:00,11/30/2020 0:00,"VETERANS AFFAIRS, DEPARTMENT OF","CENTERPOINT ENERGY SERVICES, INC.",HOUSTON,HARRIS,TX,S111,UTILITIES- GAS,211111,CRUDE PETROLEUM AND NATURAL GAS EXTRACTION
5924.42,7/2/2018,7/2/2018,7/5/2018 0:00,7/30/2018 0:00,"STATE, DEPARTMENT OF",MISCELLANEOUS FOREIGN AWARDEES,WASHINGTON,DISTRICT OF COLUMBIA,DC,5680,MISCELLANEOUS CONSTRUCTION MATERIALS,212321,CONSTRUCTION SAND AND GRAVEL MINING
609927.7,4/7/2016,4/7/2016,11/16/2016 0:00,11/16/2016 0:00,U.S. ARMY CORPS OF ENGINEERS - CIVIL PROGRAM FINANCING ONLY,BOBBIES MARINE SERVICES LLC,MANITOWOC,MANITOWOC,WI,5610,"MINERAL CONSTRUCTION MATERIALS, BULK",212313,CRUSHED AND BROKEN GRANITE MINING AND QUARRYING
228954.18,5/5/2016,7/1/2016,,,"STATE, DEPARTMENT OF",MISCELLANEOUS FOREIGN AWARDEES,WASHINGTON,DISTRICT OF COLUMBIA,DC,9140,FUEL OILS,211111,CRUDE PETROLEUM AND NATURAL GAS EXTRACTION
84425,9/27/2016,9/27/2016,1/31/2017 0:00,1/31/2017 0:00,"STATE, DEPARTMENT OF",MISCELLANEOUS FOREIGN AWARDEES,WASHINGTON,DISTRICT OF COLUMBIA,DC,Y1JZ,CONSTRUCTION OF MISCELLANEOUS BUILDINGS,212321,CONSTRUCTION SAND AND GRAVEL MINING
50733.21,5/25/2016,5/25/2016,6/24/2016 0:00,6/24/2016 0:00,DEPT OF THE AIR FORCE,"CONSTELLATION NEWENERGY - GAS DIVISION, LLC",LOUISVILLE,JEFFERSON,KY,6830,GASES: COMPRESSED AND LIQUEFIED,211111,CRUDE PETROLEUM AND NATURAL GAS EXTRACTION
11367.69,4/21/2016,4/21/2016,9/30/2016 0:00,9/30/2016 0:00,FOREST SERVICE,"RANDY KINDER EXCAVATING, INC.",DEXTER,STODDARD,MO,5610,"MINERAL CONSTRUCTION MATERIALS, BULK",212312,CRUSHED AND BROKEN LIMESTONE MINING AND QUARRYING
7948.2,8/30/2017,8/30/2017,9/26/2017 0:00,9/26/2017 0:00,DEPT OF THE NAVY,AMERICAN CLASSIC CONSTRUCTION INC.,CHATSWORTH,LOS ANGELES,CA,9620,"MINERALS, NATURAL AND SYNTHETIC",212399,ALL OTHER NONMETALLIC MINERAL MINING
14000,9/23/2019,9/23/2019,9/23/2019 0:00,9/30/2020 0:00,"STATE, DEPARTMENT OF",MISCELLANEOUS FOREIGN AWARDEES,WASHINGTON,DISTRICT OF COLUMBIA,DC,Y1LZ,CONSTRUCTION OF PARKING FACILITIES,212321,CONSTRUCTION SAND AND GRAVEL MINING
25485.98,1/12/2018,1/12/2018,3/13/2018 0:00,3/13/2018 0:00,DEPT OF THE AIR FORCE,PRIME ONE GENERAL TRADING & CONTRACTING CO. WLL,SALMIYA,,,5680,MISCELLANEOUS CONSTRUCTION MATERIALS,212321,CONSTRUCTION SAND AND GRAVEL MINING
4526.94,5/17/2019,5/17/2019,6/17/2019 0:00,6/17/2019 0:00,DEFENSE LOGISTICS AGENCY,"AVIATION DEVICES AND ELECTRONIC COMPONENTS, L.L.C.",FORT WORTH,TARRANT,TX,5999,MISCELLANEOUS ELECTRICAL AND ELECTRONIC COMPONENTS,213113,SUPPORT ACTIVITIES FOR COAL MINING
11725,11/1/2017,11/1/2017,1/30/2018 0:00,1/30/2018 0:00,DEFENSE LOGISTICS AGENCY,"ALFAB, INC.",ENTERPRISE,COFFEE,AL,5680,MISCELLANEOUS CONSTRUCTION MATERIALS,213113,SUPPORT ACTIVITIES FOR COAL MINING
39512,8/20/2021,8/20/2021,9/19/2021 0:00,9/19/2021 0:00,U.S. COAST GUARD,"PROFESSIONAL TANK CLEANING, INC.",OAKLAND PARK,BROWARD,FL,H920,OTHER QC/TEST/INSPECT- SHIP AND MARINE EQUIPMENT,213112,SUPPORT ACTIVITIES FOR OIL AND GAS OPERATIONS
6276.94,9/15/2016,9/15/2016,9/16/2016 0:00,9/16/2016 0:00,DEPT OF THE ARMY,LIQUIGAS SPA,MILANO,,,6830,GASES: COMPRESSED AND LIQUEFIED,211112,NATURAL GAS LIQUID EXTRACTION
641.3,11/13/2020,11/13/2020,12/14/2020 0:00,12/14/2020 0:00,DEFENSE LOGISTICS AGENCY,"AVIATION DEVICES AND ELECTRONIC COMPONENTS, L.L.C.",FORT WORTH,TARRANT,TX,5999,MISCELLANEOUS ELECTRICAL AND ELECTRONIC COMPONENTS,213113,SUPPORT ACTIVITIES FOR COAL MINING
708,8/19/2016,8/19/2016,4/17/2017 0:00,4/17/2017 0:00,DEFENSE LOGISTICS AGENCY,"ARKWIN INDUSTRIES, INC.",WESTBURY,NASSAU,NY,3120,"BEARINGS, PLAIN, UNMOUNTED",213113,SUPPORT ACTIVITIES FOR COAL MINING
8535.54,9/17/2019,9/17/2019,1/15/2020 0:00,1/15/2020 0:00,DEFENSE LOGISTICS AGENCY,BASIC RUBBER AND PLASTICS CO.,WALLED LAKE,OAKLAND,MI,5340,"HARDWARE, COMMERCIAL",213113,SUPPORT ACTIVITIES FOR COAL MINING
39900,9/3/2019,9/3/2019,9/20/2019 0:00,9/20/2019 0:00,BUREAU OF LAND MANAGEMENT,YOUDERIAN CONSTRUCTION INC,STANFORD,JUDITH BASIN,MT,9620,"MINERALS, NATURAL AND SYNTHETIC",212319,OTHER CRUSHED AND BROKEN STONE MINING AND QUARRYING
731.5,12/4/2017,12/4/2017,12/22/2017 0:00,12/22/2017 0:00,DEFENSE LOGISTICS AGENCY,ARMY & AIR FORCE EXCHANGE SERVICE,DALLAS,DALLAS,TX,8960,"BEVERAGES, NONALCOHOLIC",212391,"POTASH, SODA, AND BORATE MINERAL MINING"
7168.4,9/25/2019,9/25/2019,10/25/2019 0:00,10/25/2019 0:00,DEFENSE LOGISTICS AGENCY,"AVIATION DEVICES AND ELECTRONIC COMPONENTS, L.L.C.",FORT WORTH,TARRANT,TX,5999,MISCELLANEOUS ELECTRICAL AND ELECTRONIC COMPONENTS,213113,SUPPORT ACTIVITIES FOR COAL MINING
39829.83,8/12/2014,8/12/2014,10/31/2014 0:00,10/31/2014 0:00,U.S. FISH AND WILDLIFE SERVICE,"STAGGS EXCAVATING, INC.",PLEASANT PLAINS,INDEPENDENCE,AR,5610,"MINERAL CONSTRUCTION MATERIALS, BULK",212321,CONSTRUCTION SAND AND GRAVEL MINING
10061.93,7/9/2018,7/9/2018,7/19/2018 0:00,9/30/2018 0:00,"STATE, DEPARTMENT OF",MISCELLANEOUS FOREIGN AWARDEES,WASHINGTON,DISTRICT OF COLUMBIA,DC,Z2PZ,REPAIR OR ALTERATION OF OTHER NON-BUILDING FACILITIES,212321,CONSTRUCTION SAND AND GRAVEL MINING
126417.77,8/24/2021,8/21/2021,9/4/2021 0:00,9/4/2021 0:00,DEPT OF THE ARMY,FAST WORKS COMPANY FOR GENERAL TRADING LTD.,ERBIL,,,5610,"MINERAL CONSTRUCTION MATERIALS, BULK",212321,CONSTRUCTION SAND AND GRAVEL MINING
84050,10/12/2017,10/12/2017,11/20/2017 0:00,11/20/2017 0:00,DEPT OF THE ARMY,GREEN DREAM INTERNATIONAL LLC,ALEXANDRIA,ALEXANDRIA (CITY),VA,5610,"MINERAL CONSTRUCTION MATERIALS, BULK",212319,OTHER CRUSHED AND BROKEN STONE MINING AND QUARRYING
13692.84,9/21/2015,9/21/2015,10/21/2015 0:00,10/21/2015 0:00,DEPT OF THE ARMY,"WINN MATERIALS, LLC",CLARKSVILLE,MONTGOMERY,TN,5610,"MINERAL CONSTRUCTION MATERIALS, BULK",212312,CRUSHED AND BROKEN LIMESTONE MINING AND QUARRYING
2906.44,12/4/2018,12/1/2018,12/31/2018 0:00,12/31/2018 0:00,DEPT OF THE ARMY,"AMERIGAS PROPANE, L.P.",KING OF PRUSSIA,MONTGOMERY,PA,9130,"LIQUID PROPELLANTS AND FUELS, PETROLEUM BASE",211112,NATURAL GAS LIQUID EXTRACTION
0,3/29/2017,3/29/2017,1/29/2018 0:00,1/29/2018 0:00,DEFENSE LOGISTICS AGENCY,"GENERAL DYNAMICS-OTS, INC.",WILLISTON,CHITTENDEN,VT,3040,MISCELLANEOUS POWER TRANSMISSION EQUIPMENT,213113,SUPPORT ACTIVITIES FOR COAL MINING
34563.98,9/14/2020,9/11/2020,9/30/2020 0:00,9/30/2020 0:00,AGRICULTURAL RESEARCH SERVICE,"WILLBORN BROS, CO.",AMARILLO,POTTER,TX,B532,SPECIAL STUDIES/ANALYSIS- SOIL,213112,SUPPORT ACTIVITIES FOR OIL AND GAS OPERATIONS
47735,8/26/2020,8/31/2020,8/31/2020 0:00,8/31/2020 0:00,DEPT OF THE ARMY,FOREIGN AWARDEES (UNDISCLOSED),WASHINGTON,DISTRICT OF COLUMBIA,DC,5610,"MINERAL CONSTRUCTION MATERIALS, BULK",212319,OTHER CRUSHED AND BROKEN STONE MINING AND QUARRYING
0,9/12/2013,9/15/2013,9/14/2016 0:00,9/14/2016 0:00,BUREAU OF SAFETY AND ENVIRONMENTAL ENFORCEMENT,"CONSERVATION, CALIFORNIA DEPARTMENT OF",SACRAMENTO,SACRAMENTO,CA,R499,SUPPORT- PROFESSIONAL: OTHER,213112,SUPPORT ACTIVITIES FOR OIL AND GAS OPERATIONS
1711.72,6/26/2021,6/25/2021,7/1/2021 0:00,7/1/2021 0:00,DEPT OF THE ARMY,OPEN CO./ LTD FOR GENERAL TRADING AND LIFE SUPPORT SERVICES,ERBIL,,,5610,"MINERAL CONSTRUCTION MATERIALS, BULK",212321,CONSTRUCTION SAND AND GRAVEL MINING
1074.24,5/17/2017,5/17/2017,10/24/2017 0:00,10/24/2017 0:00,DEFENSE LOGISTICS AGENCY,C CROUTHAMEL & CO INC,CHALFONT,BUCKS,PA,5315,"NAILS, MACHINE KEYS, AND PINS",213113,SUPPORT ACTIVITIES FOR COAL MINING
8231.02,1/8/2019,1/8/2019,9/6/2019 0:00,9/6/2019 0:00,DEFENSE LOGISTICS AGENCY,BASIC RUBBER AND PLASTICS CO.,WALLED LAKE,OAKLAND,MI,5330,PACKING AND GASKET MATERIALS,213113,SUPPORT ACTIVITIES FOR COAL MINING
98,7/13/2019,7/13/2019,7/23/2019 0:00,7/23/2019 0:00,FEDERAL ACQUISITION SERVICE,"GIGA, INC.",MACON,BIBB,GA,6830,GASES: COMPRESSED AND LIQUEFIED,211112,NATURAL GAS LIQUID EXTRACTION
160017.97,6/27/2016,6/27/2016,8/12/2016 0:00,8/12/2016 0:00,DEPT OF THE ARMY,GREEN DREAM INTERNATIONAL LLC,ALEXANDRIA,ALEXANDRIA (CITY),VA,5610,"MINERAL CONSTRUCTION MATERIALS, BULK",212312,CRUSHED AND BROKEN LIMESTONE MINING AND QUARRYING
1000,8/27/2020,8/27/2020,11/10/2020 0:00,11/10/2020 0:00,DEFENSE LOGISTICS AGENCY,OHIO MACHINERY CO.,COLUMBUS,FRANKLIN,OH,5331,O-RING,213113,SUPPORT ACTIVITIES FOR COAL MINING
6171.01,4/13/2017,4/13/2017,10/15/2018 0:00,10/15/2018 0:00,DEFENSE LOGISTICS AGENCY,"EAGLE DISTRIBUTING ENTERPRISES, INC.",HAMPTON,HAMPTON (CITY),VA,3040,MISCELLANEOUS POWER TRANSMISSION EQUIPMENT,213113,SUPPORT ACTIVITIES FOR COAL MINING
392,3/1/2019,3/1/2019,3/11/2019 0:00,3/11/2019 0:00,FEDERAL ACQUISITION SERVICE,"GIGA, INC.",MACON,BIBB,GA,6830,GASES: COMPRESSED AND LIQUEFIED,211112,NATURAL GAS LIQUID EXTRACTION
20908.42,5/9/2019,5/9/2019,7/31/2019 0:00,7/31/2019 0:00,FOREST SERVICE,"TRUSTY TRUCKING, INC.",IRON RIVER,BAYFIELD,WI,5610,"MINERAL CONSTRUCTION MATERIALS, BULK",212321,CONSTRUCTION SAND AND GRAVEL MINING
16398.75,9/18/2021,9/18/2021,10/29/2021 0:00,10/29/2021 0:00,BUREAU OF LAND MANAGEMENT,"G. K. CONSTRUCTION, INC.",LOVELL,BIG HORN,WY,5610,"MINERAL CONSTRUCTION MATERIALS, BULK",212321,CONSTRUCTION SAND AND GRAVEL MINING
245926,3/19/2021,3/19/2021,12/31/2021 0:00,12/31/2021 0:00,"STATE, DEPARTMENT OF",MISCELANEOS SECURITY SERVICES SOCIEDAD ANONIMA,SAN JOSE,,,C1JZ,ARCHITECT AND ENGINEERING- CONSTRUCTION: MISCELLANEOUS BUILDINGS,212321,CONSTRUCTION SAND AND GRAVEL MINING
8732.65,3/22/2018,3/22/2018,8/6/2018 0:00,8/6/2018 0:00,DEPT OF THE ARMY,"SUPPLIED INDUSTRIAL SOLUTIONS, INC.",GRANITE CITY,MADISON,IL,5610,"MINERAL CONSTRUCTION MATERIALS, BULK",212319,OTHER CRUSHED AND BROKEN STONE MINING AND QUARRYING
8304.04,1/9/2018,1/9/2018,1/9/2018 0:00,1/9/2018 0:00,"STATE, DEPARTMENT OF",MISCELLANEOUS FOREIGN AWARDEES,WASHINGTON,DISTRICT OF COLUMBIA,DC,5660,"FENCING, FENCES, GATES AND COMPONENTS",212321,CONSTRUCTION SAND AND GRAVEL MINING
12,4/6/2018,4/6/2018,5/11/2018 0:00,5/11/2018 0:00,DEFENSE LOGISTICS AGENCY,SERVAL MANAGEMENT LLC,LIVONIA,WAYNE,MI,5315,"NAILS, MACHINE KEYS, AND PINS",213113,SUPPORT ACTIVITIES FOR COAL MINING
239000,9/16/2021,9/16/2021,10/1/2021 0:00,10/1/2021 0:00,FEDERAL EMERGENCY MANAGEMENT AGENCY,"NEXT GENERATION LOGISTICS, LLC",METAIRIE,JEFFERSON,LA,5610,"MINERAL CONSTRUCTION MATERIALS, BULK",212321,CONSTRUCTION SAND AND GRAVEL MINING
6578.91,3/19/2018,3/19/2018,12/31/2022 0:00,12/31/2022 0:00,FOREST SERVICE,GREEN DREAM INTERNATIONAL LLC,ALEXANDRIA,ALEXANDRIA (CITY),VA,5610,"MINERAL CONSTRUCTION MATERIALS, BULK",212312,CRUSHED AND BROKEN LIMESTONE MINING AND QUARRYING
90.5,4/20/2018,4/20/2018,4/27/2018 0:00,4/27/2018 0:00,DEFENSE LOGISTICS AGENCY,ARMY & AIR FORCE EXCHANGE SERVICE,DALLAS,DALLAS,TX,8960,"BEVERAGES, NONALCOHOLIC",212391,"POTASH, SODA, AND BORATE MINERAL MINING"
3814.53,4/1/2016,4/1/2016,4/12/2016 0:00,4/12/2017 0:00,"STATE, DEPARTMENT OF",MISCELLANEOUS FOREIGN AWARDEES,WASHINGTON,DISTRICT OF COLUMBIA,DC,5670,"BUILDING COMPONENTS, PREFABRICATED",212321,CONSTRUCTION SAND AND GRAVEL MINING
11056.5,8/16/2016,8/16/2016,10/31/2016 0:00,10/31/2016 0:00,FOREST SERVICE,MARK E JOHNSTON CONSTRUCTION L,PENACOOK,MERRIMACK,NH,5610,"MINERAL CONSTRUCTION MATERIALS, BULK",212321,CONSTRUCTION SAND AND GRAVEL MINING
9914,9/13/2017,9/13/2017,12/31/2017 0:00,12/31/2017 0:00,INDIAN HEALTH SERVICE,D & R PROPANE INC,EAGLE BUTTE,DEWEY,SD,9140,FUEL OILS,211112,NATURAL GAS LIQUID EXTRACTION
2165.24,5/20/2019,5/20/2019,10/28/2019 0:00,10/28/2019 0:00,DEFENSE LOGISTICS AGENCY,"SOUTHERN AUTOMOTIVE WHOLESALERS, INC.",PONTIAC,OAKLAND,MI,5331,O-RING,213113,SUPPORT ACTIVITIES FOR COAL MINING
42016.97,9/4/2018,9/4/2018,9/24/2018 0:00,9/24/2018 0:00,U.S. FISH AND WILDLIFE SERVICE,R & L TRANSPORT COMPANY,BRIGHTON,TIPTON,TN,5610,"MINERAL CONSTRUCTION MATERIALS, BULK",212321,CONSTRUCTION SAND AND GRAVEL MINING
612000,4/13/2020,4/14/2020,12/31/2020 0:00,12/31/2020 0:00,DEPT OF THE ARMY,"TARPAN CONSTRUCTION, LLC",COTTONPORT,AVOYELLES,LA,9610,ORES,212312,CRUSHED AND BROKEN LIMESTONE MINING AND QUARRYING
4307,6/15/2016,7/5/2016,7/5/2016 0:00,7/5/2016 0:00,"STATE, DEPARTMENT OF",MISCELLANEOUS FOREIGN AWARDEES,WASHINGTON,DISTRICT OF COLUMBIA,DC,3805,EARTH MOVING AND EXCAVATING EQUIPMENT,212321,CONSTRUCTION SAND AND GRAVEL MINING
98,4/25/2019,4/25/2019,5/5/2019 0:00,5/5/2019 0:00,FEDERAL ACQUISITION SERVICE,"GIGA, INC.",MACON,BIBB,GA,6830,GASES: COMPRESSED AND LIQUEFIED,211112,NATURAL GAS LIQUID EXTRACTION
21000,7/18/2019,7/18/2019,11/7/2019 0:00,11/7/2019 0:00,DEPT OF THE NAVY,"REIMEL MACHINE, INC.",WILLOW GROVE,MONTGOMERY,PA,2040,MARINE HARDWARE AND HULL ITEMS,211130,NATURAL GAS EXTRACTION
659.44,8/26/2020,8/26/2020,9/25/2020 0:00,9/25/2020 0:00,DEFENSE LOGISTICS AGENCY,"AVIATION DEVICES AND ELECTRONIC COMPONENTS, L.L.C.",FORT WORTH,TARRANT,TX,5330,PACKING AND GASKET MATERIALS,213113,SUPPORT ACTIVITIES FOR COAL MINING
3735.86,6/13/2016,3/25/2016,3/25/2016 0:00,3/25/2016 0:00,DEPT OF THE ARMY,"RICHARD J. MERTENS, INC.",WARRENTON,WARREN,MO,3820,"MINING, ROCK DRILLING, EARTH BORING, AND RELATED EQUIPMENT",212311,DIMENSION STONE MINING AND QUARRYING
400,10/18/2019,10/18/2019,2/18/2020 0:00,2/18/2020 0:00,DEFENSE LOGISTICS AGENCY,"HIIESALU, ALAN J",PINON HILLS,SAN BERNARDINO,CA,3120,"BEARINGS, PLAIN, UNMOUNTED",213113,SUPPORT ACTIVITIES FOR COAL MINING
17397.42,1/24/2020,3/1/2020,3/31/2020 0:00,3/31/2020 0:00,DEPT OF THE ARMY,"UGI ENERGY SERVICES, LLC",READING,BERKS,PA,6830,GASES: COMPRESSED AND LIQUEFIED,211130,NATURAL GAS EXTRACTION
324848.5,8/28/2018,8/28/2018,8/1/2019 0:00,8/1/2019 0:00,FEDERAL HIGHWAY ADMINISTRATION,"HAZ-TECH DRILLING, INC.",MERIDIAN,ADA,ID,F015,NATURAL RESOURCES/CONSERVATION- WELL DRILLING/EXPLORATORY,213115,SUPPORT ACTIVITIES FOR NONMETALLIC MINERALS (EXCEPT FUELS)
9905.07,9/30/2021,9/30/2021,11/30/2021 0:00,11/30/2021 0:00,"STATE, DEPARTMENT OF",MISCELLANEOUS FOREIGN AWARDEES,WASHINGTON,DISTRICT OF COLUMBIA,DC,Z1FA,MAINTENANCE OF FAMILY HOUSING FACILITIES,212321,CONSTRUCTION SAND AND GRAVEL MINING
36611.19,3/11/2021,3/11/2021,4/12/2021 0:00,4/12/2021 0:00,DEFENSE LOGISTICS AGENCY,"AVIATION DEVICES AND ELECTRONIC COMPONENTS, L.L.C.",FORT WORTH,TARRANT,TX,5999,MISCELLANEOUS ELECTRICAL AND ELECTRONIC COMPONENTS,213113,SUPPORT ACTIVITIES FOR COAL MINING
12089,9/28/2021,9/28/2021,10/14/2021 0:00,10/14/2021 0:00,"STATE, DEPARTMENT OF",MISCELLANEOUS FOREIGN AWARDEES,WASHINGTON,DISTRICT OF COLUMBIA,DC,9140,FUEL OILS,213112,SUPPORT ACTIVITIES FOR OIL AND GAS OPERATIONS
8978.4,1/10/2019,1/10/2019,1/24/2019 0:00,1/24/2019 0:00,DEPT OF THE ARMY,AMERICAN CLASSIC CONSTRUCTION INC.,CHATSWORTH,LOS ANGELES,CA,5680,MISCELLANEOUS CONSTRUCTION MATERIALS,212321,CONSTRUCTION SAND AND GRAVEL MINING
980,4/26/2019,4/26/2019,5/6/2019 0:00,5/6/2019 0:00,FEDERAL ACQUISITION SERVICE,"GIGA, INC.",MACON,BIBB,GA,6830,GASES: COMPRESSED AND LIQUEFIED,211112,NATURAL GAS LIQUID EXTRACTION
5430,5/14/2020,5/14/2020,6/15/2020 0:00,6/15/2020 0:00,DEFENSE LOGISTICS AGENCY,"AVIATION DEVICES AND ELECTRONIC COMPONENTS, L.L.C.",FORT WORTH,TARRANT,TX,5999,MISCELLANEOUS ELECTRICAL AND ELECTRONIC COMPONENTS,213113,SUPPORT ACTIVITIES FOR COAL MINING
11746,10/29/2018,10/29/2018,10/29/2018 0:00,10/29/2018 0:00,DEPT OF THE ARMY,"WILLARD QUARRIES, INC.",LEBANON,LACLEDE,MO,5610,"MINERAL CONSTRUCTION MATERIALS, BULK",212312,CRUSHED AND BROKEN LIMESTONE MINING AND QUARRYING
1514.85,11/13/2020,11/13/2020,12/14/2020 0:00,12/14/2020 0:00,DEFENSE LOGISTICS AGENCY,"AVIATION DEVICES AND ELECTRONIC COMPONENTS, L.L.C.",FORT WORTH,TARRANT,TX,5999,MISCELLANEOUS ELECTRICAL AND ELECTRONIC COMPONENTS,213113,SUPPORT ACTIVITIES FOR COAL MINING
14512.5,7/15/2016,7/15/2016,1/10/2017 0:00,1/10/2017 0:00,DEFENSE LOGISTICS AGENCY,GMS INTERNATIONAL CORPORATION,RESTON,FAIRFAX,VA,3110,"BEARINGS, ANTIFRICTION, UNMOUNTED",213113,SUPPORT ACTIVITIES FOR COAL MINING
13995,10/7/2015,10/7/2015,5/16/2016 0:00,5/16/2016 0:00,DEFENSE LOGISTICS AGENCY,TRIMAN INDUSTRIES INC,WEST BERLIN,CAMDEN,NJ,3040,MISCELLANEOUS POWER TRANSMISSION EQUIPMENT,213113,SUPPORT ACTIVITIES FOR COAL MINING
2663.1,1/17/2019,1/17/2019,2/19/2019 0:00,2/19/2019 0:00,DEFENSE LOGISTICS AGENCY,"AVIATION DEVICES AND ELECTRONIC COMPONENTS, L.L.C.",FORT WORTH,TARRANT,TX,5999,MISCELLANEOUS ELECTRICAL AND ELECTRONIC COMPONENTS,213113,SUPPORT ACTIVITIES FOR COAL MINING
